Reference:	"Kofman et al. (2019)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/ab0d89"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"90K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/206"
n₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	
0.5457	1.2623		
0.5451	1.2623		
0.5446	1.2623		
0.544	1.2623		
0.5434	1.2624		
0.5429	1.2624		
0.5423	1.2624		
0.5418	1.2624		
0.5412	1.2624		
0.5406	1.2624		
0.5401	1.2625		
0.5395	1.2625		
0.539	1.2625		
0.5384	1.2625		
0.5378	1.2625		
0.5373	1.2625		
0.5367	1.2626		
0.5361	1.2626		
0.5356	1.2626		
0.535	1.2626		
0.5345	1.2626		
0.5339	1.2626		
0.5333	1.2627		
0.5328	1.2627		
0.5322	1.2627		
0.5316	1.2627		
0.5311	1.2627		
0.5305	1.2627		
0.53	1.2628		
0.5294	1.2628		
0.5288	1.2628		
0.5283	1.2628		
0.5277	1.2628		
0.5272	1.2629		
0.5266	1.2629		
0.526	1.2629		
0.5255	1.2629		
0.5249	1.2629		
0.5243	1.2629		
0.5238	1.263		
0.5232	1.263		
0.5227	1.263		
0.5221	1.263		
0.5215	1.263		
0.521	1.2631		
0.5204	1.2631		
0.5198	1.2631		
0.5193	1.2631		
0.5187	1.2631		
0.5182	1.2631		
0.5176	1.2632		
0.517	1.2632		
0.5165	1.2632		
0.5159	1.2632		
0.5154	1.2632		
0.5148	1.2633		
0.5142	1.2633		
0.5137	1.2633		
0.5131	1.2633		
0.5125	1.2633		
0.512	1.2634		
0.5114	1.2634		
0.5109	1.2634		
0.5103	1.2634		
0.5097	1.2634		
0.5092	1.2635		
0.5086	1.2635		
0.508	1.2635		
0.5075	1.2635		
0.5069	1.2635		
0.5064	1.2636		
0.5058	1.2636		
0.5052	1.2636		
0.5047	1.2636		
0.5041	1.2636		
0.5036	1.2637		
0.503	1.2637		
0.5024	1.2637		
0.5019	1.2637		
0.5013	1.2637		
0.5007	1.2638		
0.5002	1.2638		
0.4996	1.2638		
0.4991	1.2638		
0.4985	1.2639		
0.4979	1.2639		
0.4974	1.2639		
0.4968	1.2639		
0.4962	1.2639		
0.4957	1.264		
0.4951	1.264		
0.4946	1.264		
0.494	1.264		
0.4934	1.264		
0.4929	1.2641		
0.4923	1.2641		
0.4918	1.2641		
0.4912	1.2641		
0.4906	1.2642		
0.4901	1.2642		
0.4895	1.2642		
0.4889	1.2642		
0.4884	1.2643		
0.4878	1.2643		
0.4873	1.2643		
0.4867	1.2643		
0.4861	1.2643		
0.4856	1.2644		
0.485	1.2644		
0.4844	1.2644		
0.4839	1.2644		
0.4833	1.2645		
0.4828	1.2645		
0.4822	1.2645		
0.4816	1.2645		
0.4811	1.2646		
0.4805	1.2646		
0.48	1.2646		
0.4794	1.2646		
0.4788	1.2647		
0.4783	1.2647		
0.4777	1.2647		
0.4771	1.2647		
0.4766	1.2648		
0.476	1.2648		
0.4755	1.2648		
0.4749	1.2648		
0.4743	1.2649		
0.4738	1.2649		
0.4732	1.2649		
0.4727	1.2649		
0.4721	1.265		
0.4715	1.265		
0.471	1.265		
0.4704	1.265		
0.4698	1.2651		
0.4693	1.2651		
0.4687	1.2651		
0.4682	1.2651		
0.4676	1.2652		
0.467	1.2652		
0.4665	1.2652		
0.4659	1.2652		
0.4653	1.2653		
0.4648	1.2653		
0.4642	1.2653		
0.4637	1.2653		
0.4631	1.2654		
0.4625	1.2654		
0.462	1.2654		
0.4614	1.2655		
0.4609	1.2655		
0.4603	1.2655		
0.4597	1.2655		
0.4592	1.2656		
0.4586	1.2656		
0.458	1.2656		
0.4575	1.2657		
0.4569	1.2657		
0.4564	1.2657		
0.4558	1.2657		
0.4552	1.2658		
0.4547	1.2658		
0.4541	1.2658		
0.4535	1.2659		
0.453	1.2659		
0.4524	1.2659		
0.4519	1.2659		
0.4513	1.266		
0.4507	1.266		
0.4502	1.266		
0.4496	1.2661		
0.4491	1.2661		
0.4485	1.2661		
0.4479	1.2662		
0.4474	1.2662		
0.4468	1.2662		
0.4462	1.2662		
0.4457	1.2663		
0.4451	1.2663		
0.4446	1.2663		
0.444	1.2664		
0.4434	1.2664		
0.4429	1.2664		
0.4423	1.2665		
0.4417	1.2665		
0.4412	1.2665		
0.4406	1.2666		
0.4401	1.2666		
0.4395	1.2666		
0.4389	1.2667		
0.4384	1.2667		
0.4378	1.2667		
0.4373	1.2668		
0.4367	1.2668		
0.4361	1.2668		
0.4356	1.2668		
0.435	1.2669		
0.4344	1.2669		
0.4339	1.2669		
0.4333	1.267		
0.4328	1.267		
0.4322	1.2671		
0.4316	1.2671		
0.4311	1.2671		
0.4305	1.2672		
0.4299	1.2672		
0.4294	1.2672		
0.4288	1.2673		
0.4283	1.2673		
0.4277	1.2673		
0.4271	1.2674		
0.4266	1.2674		
0.426	1.2674		
0.4255	1.2675		
0.4249	1.2675		
0.4243	1.2675		
0.4238	1.2676		
0.4232	1.2676		
0.4226	1.2677		
0.4221	1.2677		
0.4215	1.2677		
0.421	1.2678		
0.4204	1.2678		
0.4198	1.2678		
0.4193	1.2679		
0.4187	1.2679		
0.4181	1.268		
0.4176	1.268		
0.417	1.268		
0.4165	1.2681		
0.4159	1.2681		
0.4153	1.2681		
0.4148	1.2682		
0.4142	1.2682		
0.4137	1.2683		
0.4131	1.2683		
0.4125	1.2683		
0.412	1.2684		
0.4114	1.2684		
0.4108	1.2685		
0.4103	1.2685		
0.4097	1.2685		
0.4092	1.2686		
0.4086	1.2686		
0.408	1.2687		
0.4075	1.2687		
0.4069	1.2687		
0.4063	1.2688		
0.4058	1.2688		
0.4052	1.2689		
0.4047	1.2689		
0.4041	1.269		
0.4035	1.269		
0.403	1.269		
0.4024	1.2691		
0.4019	1.2691		
