Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH4CN (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/66"
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
561.5547	0.000106		
561.6752	-1.0E-6		
561.7957	-0.000209		
561.9163	-0.000503		
562.0368	-0.000847		
562.1573	-0.00119		
562.2779	-0.00147		
562.3984	-0.00164		
562.5189	-0.00167		
562.6394	-0.00155		
562.76	-0.00128		
562.8805	-0.000901		
563.001	-0.000448		
563.1216	3.3E-5		
563.2421	0.000494		
563.3626	0.000885		
563.4832	0.00116		
563.6037	0.0013		
563.7242	0.0013		
563.8448	0.00118		
563.9653	0.000989		
564.0858	0.0008		
564.2064	0.000659		
564.3269	0.000597		
564.4474	0.000608		
564.5679	0.000665		
564.6885	0.000725		
564.809	0.000755		
564.9295	0.000743		
565.0501	0.000697		
565.1706	0.000638		
565.2911	0.000581		
565.4117	0.000528		
565.5322	0.000461		
565.6527	0.000362		
565.7733	0.00022		
565.8938	5.0E-5		
566.0143	-0.000105		
566.1349	-0.000191		
566.2554	-0.00016		
566.3759	4.0E-6		
566.4964	0.000275		
566.617	0.000591		
566.7375	0.000874		
566.858	0.00106		
566.9786	0.00111		
567.0991	0.00102		
567.2196	0.000849		
567.3402	0.000625		
567.4607	0.000395		
567.5812	0.000183		
567.7018	0		
567.8223	-0.000153		
567.9428	-0.00027		
568.0634	-0.000341		
568.1839	-0.000355		
568.3044	-0.000309		
568.4249	-0.00022		
568.5455	-0.000124		
568.666	-6.7E-5		
568.7865	-9.5E-5		
568.9071	-0.000228		
569.0276	-0.000464		
569.1481	-0.000773		
569.2687	-0.00111		
569.3892	-0.00145		
569.5097	-0.00174		
569.6303	-0.00199		
569.7508	-0.00216		
569.8713	-0.00226		
569.9918	-0.00225		
570.1124	-0.00211		
570.2329	-0.00181		
570.3534	-0.00138		
570.474	-0.000853		
570.5945	-0.000297		
570.715	0.000201		
570.8356	0.000568		
570.9561	0.000768		
571.0766	0.000814		
571.1972	0.000761		
571.3177	0.000687		
571.4382	0.000665		
571.5588	0.000739		
571.6793	0.000906		
571.7998	0.00112		
571.9203	0.00132		
572.0409	0.00141		
572.1614	0.00136		
572.2819	0.00114		
572.4025	0.000771		
572.523	0.000319		
572.6435	-0.000149		
572.7641	-0.000566		
572.8846	-0.000886		
573.0051	-0.00109		
573.1257	-0.0012		
573.2462	-0.00123		
573.3667	-0.00121		
573.4873	-0.00116		
573.6078	-0.0011		
573.7283	-0.00102		
573.8488	-0.000933		
573.9694	-0.000845		
574.0899	-0.00077		
574.2104	-0.000722		
574.331	-0.000711		
574.4515	-0.000737		
574.572	-0.000782		
574.6926	-0.000822		
574.8131	-0.000832		
574.9336	-0.000799		
575.0542	-0.000727		
575.1747	-0.000637		
575.2952	-0.000559		
575.4158	-0.00052		
575.5363	-0.000531		
575.6568	-0.000588		
575.7773	-0.000673		
575.8979	-0.00076		
576.0184	-0.000836		
576.1389	-0.000896		
576.2595	-0.000952		
576.38	-0.00102		
576.5005	-0.00112		
576.6211	-0.00124		
576.7416	-0.00139		
576.8621	-0.00154		
576.9827	-0.00167		
577.1032	-0.00175		
577.2237	-0.00176		
577.3442	-0.00169		
577.4648	-0.00155		
577.5853	-0.00134		
577.7058	-0.0011		
577.8264	-0.000848		
577.9469	-0.000637		
578.0674	-0.000506		
578.188	-0.00048		
578.3085	-0.000559		
578.429	-0.000709		
578.5496	-0.000872		
578.6701	-0.000982		
578.7906	-0.000982		
578.9112	-0.000851		
579.0317	-0.000609		
579.1522	-0.00031		
579.2727	-2.4E-5		
579.3933	0.000184		
579.5138	0.000271		
579.6343	0.000228		
579.7549	7.2E-5		
579.8754	-0.000162		
579.9959	-0.000436		
580.1165	-0.000718		
580.237	-0.00099		
580.3575	-0.00124		
580.4781	-0.00145		
580.5986	-0.00163		
580.7191	-0.00177		
580.8397	-0.00186		
580.9602	-0.00192		
581.0807	-0.00197		
581.2012	-0.00203		
581.3218	-0.00211		
581.4423	-0.0022		
581.5628	-0.00231		
581.6834	-0.0024		
581.8039	-0.00245		
581.9244	-0.00244		
582.045	-0.00237		
582.1655	-0.00223		
582.286	-0.00204		
582.4066	-0.0018		
582.5271	-0.00153		
582.6476	-0.00125		
582.7682	-0.000973		
582.8887	-0.000734		
583.0092	-0.000558		
583.1297	-0.000461		
583.2503	-0.000447		
583.3708	-0.000505		
583.4913	-0.000611		
583.6119	-0.000743		
583.7324	-0.000881		
583.8529	-0.00102		
583.9735	-0.00115		
584.094	-0.00129		
584.2145	-0.00141		
584.3351	-0.00152		
584.4556	-0.00158		
584.5761	-0.0016		
584.6967	-0.00157		
584.8172	-0.0015		
584.9377	-0.00143		
585.0582	-0.00139		
585.1788	-0.00138		
585.2993	-0.00139		
585.4198	-0.00138		
585.5404	-0.00132		
585.6609	-0.00118		
585.7814	-0.000959		
585.902	-0.000697		
586.0225	-0.000444		
586.143	-0.00025		
586.2636	-0.000145		
586.3841	-0.000129		
586.5046	-0.000175		
586.6251	-0.000248		
586.7457	-0.000319		
586.8662	-0.000382		
586.9867	-0.000449		
587.1073	-0.000542		
587.2278	-0.00068		
587.3483	-0.000862		
587.4689	-0.00107		
587.5894	-0.00127		
587.7099	-0.00142		
587.8305	-0.00151		
587.951	-0.00151		
588.0715	-0.00144		
588.1921	-0.00131		
588.3126	-0.00114		
588.4331	-0.00093		
588.5536	-0.000693		
588.6742	-0.000443		
588.7947	-0.000201		
588.9152	1.0E-6		
589.0358	0.000135		
589.1563	0.000177		
589.2768	0.000119		
589.3974	-2.7E-5		
589.5179	-0.000241		
589.6384	-0.000492		
589.759	-0.000756		
589.8795	-0.00101		
590	-0.00123		
590.1206	-0.0014		
590.2411	-0.00151		
590.3616	-0.00154		
590.4821	-0.00149		
590.6027	-0.00139		
590.7232	-0.00126		
590.8437	-0.00117		
590.9643	-0.00117		
591.0848	-0.0013		
591.2053	-0.00155		
591.3259	-0.00189		
591.4464	-0.00228		
591.5669	-0.00264		
591.6875	-0.00292		
591.808	-0.00308		
591.9285	-0.00312		
592.0491	-0.00303		
592.1696	-0.00285		
592.2901	-0.00257		
