Reference:	"He et al. (2024)"
DOI:	"doi:https://doi.org/10.1038/s41550-023-02140-4"
Sample Type:	"Gas Tholin"
Composition:	"H2O:He:CH4:N2:CO2 (0.66:0.16:0.066:0.065:0.049)"
Temperature:	"400K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/76"
n₁ Error Units:	Uncertainties on n values of 3-4% from 0.4 to 28.6 μm.
k₁ Error Units:	Uncertainties on k values of 1-4% at wavelengths > 2.9 μm and up to 9% for wavelengths between 0.4 to 2.9 μm.
T₁ Caption:	Transmission spectrum of a tholin-KBr pellet made with 0.10% in mass of tholin powder
T₁ Error Units:	Not Applicable
T₂ Caption:	Transmission spectrum of a tholin-KBr pellet made with 0.43% in mass of tholin powder
T₂ Error Units:	Not Applicable
T₃ Caption:	Transmission spectrum of a tholin-KBr pellet made with 4.10% in mass of tholin powder
T₃ Error Units:	Not Applicable
R₁ Caption:	Reflection spectrum of a tholin sample analyzed with an incidence angle of 15°
R₁ Error Units:	Not Applicable
R₂ Caption:	Reflection spectrum of a tholin sample analyzed with an incidence angle of 45°
R₂ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"		"Wavelength (µm)"	"T₁"	"DT₁  (+/-)"	"T₂"	"DT₂  (+/-)"	"T₃"	"DT₃  (+/-)"		"Wavenumber (cm⁻¹)"	"R₁"	"DR₁  (+/-)"	"R₂"	"DR₂  (+/-)"	
27.0414808	1.6346674	3.542407577		27.0414808	0.063600242	2.156537222		27.0414808	0.970684059		0.864787602		0.169662304			9040.145874011	0.066948946		0.062143546		
27.0062705	1.635175	3.5425418		27.0062705	0.063674188	1.980227957		27.0062705	0.970368004		0.864759328		0.170463789			9041.110156238	0.066942238		0.06214889		
26.9711518	1.6356465	3.542673264		26.9711518	0.063906473	1.853653226		26.9711518	0.970106772		0.864749487		0.168701091			9042.074438465	0.06693566		0.062154377		
26.9361244	1.6360552	3.542802126		26.9361244	0.064229262	1.811963578		26.9361244	0.969970107		0.864576237		0.165077907			9043.038720691	0.066929057		0.062159928		
26.9011878	1.6363194	3.542928575		26.9011878	0.064684403	1.766172332		26.9011878	0.969744147		0.864126076		0.161192894			9044.003002918	0.066922202		0.062165433		
26.8663417	1.6364184	3.543052755		26.8663417	0.065064174	1.766504768		26.8663417	0.969570894		0.863384295		0.158440576			9044.967285144	0.066914907		0.062170864		
26.8315857	1.6364426	3.543174664		26.8315857	0.065360574	1.7842467		26.8315857	0.969388736		0.862405175		0.157258389			9045.931567371	0.066907095		0.062176314		
26.7969196	1.6364907	3.543294323		26.7969196	0.065536518	1.849207045		26.7969196	0.969287338		0.8612843		0.157148416			9046.895849597	0.066898781		0.062181907		
26.7623429	1.6365723	3.543411703		26.7623429	0.06576025	1.879421962		26.7623429	0.969088673		0.860155762		0.157263343			9047.860131824	0.066889997		0.062187672		
26.7278554	1.636599	3.543526875		26.7278554	0.065995659	1.894369574		26.7278554	0.968890299		0.859179242		0.156931836			9048.824414051	0.066880762		0.06219349		
26.6934566	1.6366004	3.543639933		26.6934566	0.066179635	1.874419353		26.6934566	0.968730063		0.858689396		0.155952209			9049.788696277	0.066871116		0.06219919		
26.6591462	1.6365458	3.543750977		26.6591462	0.066402653	1.835575164		26.6591462	0.968532879		0.858244242		0.154716783			9050.752978504	0.066861198		0.062204717		
26.624924	1.6363636	3.543860401		26.624924	0.066538461	1.810217		26.624924	0.968384433		0.857890371		0.15395544			9051.71726073	0.06685128		0.062210223		
26.5907894	1.6362338	3.543968476		26.5907894	0.066420128	1.86560243		26.5907894	0.968461836		0.857640279		0.154216794			9052.681542957	0.066841696		0.062215975		
26.5567423	1.6362445	3.544075081		26.5567423	0.066318458	1.835850825		26.5567423	0.968355509		0.857502582		0.15553316			9053.645825183	0.066832689		0.062222152		
26.5227823	1.63631	3.544180063		26.5227823	0.066213455	1.773719104		26.5227823	0.968165877		0.857414451		0.157482339			9054.61010741	0.066824286		0.062228699		
26.488909	1.6364428	3.544283305		26.488909	0.066110397	1.735697646		26.488909	0.967997623		0.857214634		0.159483414			9055.574389636	0.066816295		0.062235341		
26.4551221	1.636596	3.544385002		26.4551221	0.066072275	1.724398858		26.4551221	0.967847387		0.856756937		0.161074187			9056.538671863	0.06680845		0.062241777		
26.4214213	1.6367863	3.544485758		26.4214213	0.065989341	1.795345571		26.4214213	0.967895933		0.856052585		0.162085449			9057.50295409	0.066800601		0.062247872		
26.3878063	1.6370348	3.544585977		26.3878063	0.065984281	1.871682737		26.3878063	0.967901339		0.855277413		0.162628747			9058.467236316	0.066792813		0.062253729		
26.3542767	1.6372965	3.544685591		26.3542767	0.0660182	1.927438639		26.3542767	0.967870644		0.85462935		0.16272353			9059.431518543	0.0667853		0.062259579		
26.3208322	1.6375913	3.544784187		26.3208322	0.066101163	1.950938239		26.3208322	0.967816125		0.854188325		0.161973092			9060.395800769	0.066778237		0.062265609		
26.2874724	1.6379475	3.544881186		26.2874724	0.066279959	1.949395047		26.2874724	0.967747226		0.853899698		0.159833757			9061.360082996	0.066771599		0.062271849		
26.2541972	1.6381535	3.544976211		26.2541972	0.066753902	1.826319751		26.2541972	0.967408039		0.853647704		0.156215088			9062.324365222	0.066765136		0.062278201		
26.221006	1.638129	3.545069282		26.221006	0.067122477	1.831716403		26.221006	0.967350099		0.853326557		0.151841414			9063.288647449	0.066758517		0.062284535		
26.1878987	1.6379705	3.545160667		26.1878987	0.067465623	1.847347585		26.1878987	0.967284918		0.852870414		0.148181763			9064.252929676	0.066751526		0.062290789		
26.1548749	1.6376721	3.545250683		26.1548749	0.06764483	1.87560389		26.1548749	0.967212324		0.852271748		0.146792862			9065.217211902	0.066744172		0.062296974		
26.1219342	1.6373677	3.545339443		26.1219342	0.067587273	1.911020133		26.1219342	0.967132964		0.851606316		0.148319067			9066.181494129	0.066736643		0.062303124		
26.0890764	1.6372063	3.545426846		26.0890764	0.067346015	1.940086132		26.0890764	0.967048368		0.851006945		0.151958634			9067.145776355	0.066729155		0.062309251		
26.0563012	1.6372577	3.545512875		26.0563012	0.06706247	1.953498441		26.0563012	0.966964371		0.850560552		0.155907866			9068.110058582	0.06672181		0.062315341		
26.0236082	1.6374831	3.545597778		26.0236082	0.06687805	1.957704128		26.0236082	0.966890707		0.850231094		0.158404336			9069.074340808	0.066714575		0.062321388		
25.9909972	1.6377704	3.545682053		25.9909972	0.066865413	1.967136139		25.9909972	0.966833829		0.849911857		0.158620992			9070.038623035	0.066707355		0.062327412		
25.9584678	1.6379981	3.545766101		25.9584678	0.067004658	1.985885393		25.9584678	0.966789954		0.849554892		0.15691284			9071.002905261	0.066700093		0.062333447		
25.9260197	1.6380951	3.545849827		25.9260197	0.067204183	2.000684262		25.9260197	0.966746866		0.849231306		0.154408757			9071.967187488	0.066692812		0.062339493		
