Reference:	"Kofman et al. (2019)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/ab0d89"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/202"
n₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	
0.2485	1.2157		
0.2479	1.2159		
0.2473	1.2161		
0.2468	1.2163		
0.2462	1.2164		
0.2457	1.2166		
0.2451	1.2168		
0.2445	1.217		
0.244	1.2172		
0.2434	1.2174		
0.2428	1.2176		
0.2423	1.2178		
0.2417	1.218		
0.2412	1.2182		
0.2406	1.2184		
0.24	1.2186		
0.2395	1.2188		
0.2389	1.219		
0.2383	1.2192		
0.2378	1.2194		
0.2372	1.2196		
0.2367	1.2198		
0.2361	1.2201		
0.2355	1.2203		
0.235	1.2205		
0.2344	1.2207		
0.2339	1.2209		
0.2333	1.2212		
0.2327	1.2214		
0.2322	1.2216		
0.2316	1.2219		
0.231	1.2221		
0.2305	1.2224		
0.2299	1.2226		
0.2294	1.2229		
0.2288	1.2231		
0.2282	1.2234		
0.2277	1.2236		
0.2271	1.2239		
0.2265	1.2241		
0.226	1.2244		
0.2254	1.2247		
0.2249	1.2249		
0.2243	1.2252		
0.2237	1.2255		
0.2232	1.2258		
0.2226	1.226		
0.2221	1.2263		
0.2215	1.2266		
0.2209	1.2269		
0.2204	1.2272		
0.2198	1.2275		
0.2192	1.2278		
0.2187	1.2281		
0.2181	1.2284		
0.2176	1.2287		
0.217	1.2291		
0.2164	1.2294		
0.2159	1.2297		
0.2153	1.23		
0.2147	1.2304		
0.2142	1.2307		
0.2136	1.231		
0.2131	1.2314		
0.2125	1.2317		
0.2119	1.2321		
0.2114	1.2325		
0.2108	1.2328		
