Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH4CN (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/68"
A₁ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.11 μm
A₁ Error Units:	Not Applicable
A₂ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.22 μm
A₂ Error Units:	Not Applicable
A₃ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.43 μm
A₃ Error Units:	Not Applicable
A₄ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.86 μm
A₄ Error Units:	Not Applicable
A₅ Caption:	Absorption spectrum of NH4CN ice with a thickness of 1.73 μm
A₅ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	"A₂"	"DA₂  (+/-)"	"A₃"	"DA₃  (+/-)"	"A₄"	"DA₄  (+/-)"	"A₅"	"DA₅  (+/-)"	
1367.0644	0.00205		0.00162		0.00705		0.01407		0.03189		
1367.185	0.00205		0.00161		0.00707		0.01412		0.03194		
1367.3055	0.00204		0.0016		0.00708		0.01417		0.03199		
1367.426	0.00203		0.0016		0.00709		0.01421		0.03204		
1367.5466	0.00202		0.00161		0.00709		0.01425		0.03209		
1367.6671	0.00201		0.00162		0.0071		0.0143		0.03214		
1367.7876	0.00201		0.00164		0.00712		0.01435		0.03221		
1367.9082	0.00201		0.00166		0.00715		0.0144		0.03228		
1368.0287	0.00202		0.00168		0.00719		0.01447		0.03236		
1368.1492	0.00204		0.00169		0.00725		0.01454		0.03244		
1368.2697	0.00206		0.0017		0.0073		0.01461		0.03251		
1368.3903	0.00206		0.00171		0.00735		0.01467		0.03257		
1368.5108	0.00206		0.00172		0.00739		0.01473		0.03262		
1368.6313	0.00206		0.00173		0.00743		0.01478		0.03268		
1368.7519	0.00205		0.00174		0.00747		0.01483		0.03273		
1368.8724	0.00205		0.00176		0.00752		0.01487		0.03279		
1368.9929	0.00206		0.00178		0.00756		0.01492		0.03286		
1369.1135	0.00208		0.0018		0.00761		0.01497		0.03294		
1369.234	0.00211		0.00182		0.00766		0.01502		0.03302		
1369.3545	0.00215		0.00184		0.00771		0.01508		0.0331		
1369.4751	0.00218		0.00187		0.00775		0.01515		0.03318		
1369.5956	0.0022		0.00189		0.00779		0.01521		0.03326		
1369.7161	0.00221		0.00192		0.00783		0.01528		0.03334		
1369.8367	0.00222		0.00195		0.00787		0.01535		0.03341		
1369.9572	0.00222		0.00198		0.00791		0.01542		0.03349		
1370.0777	0.00222		0.00199		0.00795		0.01549		0.03356		
1370.1982	0.00223		0.002		0.00798		0.01555		0.03363		
1370.3188	0.00224		0.00201		0.00801		0.01561		0.0337		
1370.4393	0.00225		0.00201		0.00804		0.01566		0.03377		
1370.5598	0.00227		0.00202		0.00807		0.01572		0.03385		
1370.6804	0.00228		0.00205		0.0081		0.01578		0.03393		
1370.8009	0.0023		0.00208		0.00814		0.01585		0.03403		
1370.9214	0.00232		0.00212		0.0082		0.01593		0.03413		
1371.042	0.00234		0.00216		0.00826		0.01601		0.03424		
1371.1625	0.00237		0.0022		0.00833		0.0161		0.03433		
1371.283	0.00239		0.00224		0.00839		0.01617		0.03442		
1371.4036	0.00241		0.00226		0.00845		0.01624		0.0345		
1371.5241	0.00243		0.00228		0.00851		0.01629		0.03456		
1371.6446	0.00244		0.0023		0.00855		0.01634		0.03463		
1371.7652	0.00246		0.00232		0.00859		0.01638		0.03469		
1371.8857	0.00247		0.00234		0.00862		0.01641		0.03477		
1372.0062	0.00249		0.00236		0.00865		0.01646		0.03485		
1372.1267	0.00251		0.00238		0.00869		0.01651		0.03494		
1372.2473	0.00254		0.0024		0.00873		0.01656		0.03504		
1372.3678	0.00257		0.00242		0.00877		0.01662		0.03513		
1372.4883	0.0026		0.00243		0.00881		0.01669		0.03522		
1372.6089	0.00262		0.00245		0.00886		0.01675		0.0353		
1372.7294	0.00263		0.00247		0.0089		0.01682		0.03538		
1372.8499	0.00264		0.00249		0.00895		0.01689		0.03546		
1372.9705	0.00264		0.00252		0.009		0.01696		0.03555		
1373.091	0.00265		0.00254		0.00904		0.01702		0.03563		
1373.2115	0.00266		0.00256		0.00907		0.01708		0.03571		
1373.3321	0.00266		0.00258		0.0091		0.01714		0.03578		
1373.4526	0.00267		0.00261		0.00911		0.01719		0.03585		
1373.5731	0.00268		0.00263		0.00913		0.01724		0.03591		
1373.6936	0.00269		0.00267		0.00916		0.01729		0.03597		
1373.8142	0.0027		0.00271		0.0092		0.01734		0.03605		
1373.9347	0.00272		0.00276		0.00926		0.01741		0.03614		
1374.0552	0.00274		0.00282		0.00933		0.01748		0.03625		
1374.1758	0.00278		0.00287		0.00941		0.01756		0.03636		
1374.2963	0.00282		0.00292		0.00948		0.01765		0.03648		
1374.4168	0.00286		0.00296		0.00955		0.01773		0.03659		
1374.5374	0.00291		0.00299		0.00961		0.01781		0.0367		
1374.6579	0.00296		0.00301		0.00966		0.01788		0.0368		
1374.7784	0.003		0.00304		0.00971		0.01795		0.0369		
1374.899	0.00304		0.00306		0.00975		0.01802		0.037		
1375.0195	0.00307		0.00309		0.0098		0.01808		0.0371		
1375.14	0.0031		0.00311		0.00984		0.01814		0.03721		
1375.2606	0.00312		0.00314		0.00988		0.0182		0.03731		
1375.3811	0.00314		0.00316		0.00992		0.01825		0.03741		
1375.5016	0.00315		0.00317		0.00994		0.0183		0.0375		
1375.6221	0.00315		0.00318		0.00996		0.01835		0.03758		
1375.7427	0.00315		0.00319		0.00999		0.01839		0.03766		
1375.8632	0.00315		0.00321		0.01001		0.01844		0.03774		
1375.9837	0.00315		0.00324		0.01005		0.01849		0.03784		
1376.1043	0.00317		0.00328		0.0101		0.01856		0.03795		
1376.2248	0.00319		0.00332		0.01017		0.01864		0.03807		
1376.3453	0.00322		0.00338		0.01024		0.01874		0.0382		
1376.4659	0.00326		0.00342		0.01031		0.01883		0.03832		
1376.5864	0.00329		0.00346		0.01037		0.01893		0.03844		
1376.7069	0.00333		0.0035		0.01041		0.01902		0.03855		
1376.8275	0.00335		0.00352		0.01045		0.0191		0.03866		
1376.948	0.00337		0.00353		0.01047		0.01917		0.03876		
1377.0685	0.00338		0.00354		0.0105		0.01923		0.03887		
1377.1891	0.00339		0.00354		0.01052		0.01929		0.03898		
1377.3096	0.00339		0.00355		0.01055		0.01934		0.03909		
1377.4301	0.0034		0.00356		0.01058		0.01939		0.0392		
1377.5506	0.00341		0.00357		0.01062		0.01944		0.0393		
1377.6712	0.00342		0.00359		0.01066		0.01949		0.0394		
1377.7917	0.00343		0.00362		0.01071		0.01954		0.0395		
1377.9122	0.00344		0.00366		0.01076		0.0196		0.0396		
1378.0328	0.00346		0.00371		0.01082		0.01966		0.03972		
1378.1533	0.00348		0.00375		0.01088		0.01973		0.03984		
1378.2738	0.00349		0.0038		0.01094		0.0198		0.03996		
1378.3944	0.00351		0.00383		0.01098		0.01987		0.04008		
1378.5149	0.00352		0.00384		0.01101		0.01994		0.04018		
1378.6354	0.00353		0.00384		0.01102		0.02		0.04027		
1378.756	0.00354		0.00383		0.01102		0.02006		0.04035		
1378.8765	0.00356		0.00382		0.01101		0.02013		0.04043		
1378.997	0.00357		0.00382		0.01101		0.02019		0.04051		
1379.1176	0.00359		0.00383		0.01103		0.02027		0.04059		
1379.2381	0.00361		0.00386		0.01106		0.02035		0.04069		
1379.3586	0.00362		0.0039		0.0111		0.02043		0.0408		
1379.4791	0.00364		0.00394		0.01116		0.02052		0.04092		
1379.5997	0.00365		0.00398		0.01122		0.02059		0.04103		
1379.7202	0.00365		0.00401		0.01127		0.02066		0.04114		
1379.8407	0.00365		0.00403		0.01131		0.02072		0.04125		
1379.9613	0.00364		0.00404		0.01135		0.02077		0.04135		
1380.0818	0.00363		0.00406		0.01139		0.02082		0.04145		
1380.2023	0.00362		0.00407		0.01143		0.02087		0.04154		
1380.3229	0.00361		0.00409		0.01146		0.02093		0.04164		
1380.4434	0.00361		0.0041		0.01149		0.02099		0.04173		
1380.5639	0.00361		0.0041		0.01152		0.02106		0.04181		
1380.6845	0.0036		0.0041		0.01153		0.02112		0.04188		
1380.805	0.0036		0.00408		0.01154		0.02117		0.04195		
1380.9255	0.00359		0.00407		0.01155		0.02123		0.04203		
1381.0461	0.00359		0.00407		0.01156		0.0213		0.04213		
1381.1666	0.0036		0.00408		0.01159		0.02137		0.04224		
1381.2871	0.00361		0.0041		0.01162		0.02146		0.04236		
1381.4076	0.00362		0.00413		0.01167		0.02156		0.04249		
1381.5282	0.00365		0.00415		0.01171		0.02166		0.04261		
1381.6487	0.00366		0.00417		0.01175		0.02175		0.04271		
1381.7692	0.00367		0.00417		0.01178		0.02182		0.0428		
1381.8898	0.00367		0.00416		0.0118		0.02188		0.04287		
1382.0103	0.00367		0.00415		0.01182		0.02193		0.04293		
1382.1308	0.00366		0.00413		0.01184		0.02198		0.043		
1382.2514	0.00365		0.00413		0.01186		0.02203		0.04308		
1382.3719	0.00364		0.00413		0.0119		0.0221		0.04318		
1382.4924	0.00364		0.00414		0.01193		0.02217		0.04329		
1382.613	0.00364		0.00415		0.01197		0.02225		0.0434		
1382.7335	0.00364		0.00415		0.012		0.02233		0.04351		
1382.854	0.00364		0.00416		0.01202		0.0224		0.04362		
1382.9745	0.00363		0.00416		0.01204		0.02248		0.04371		
1383.0951	0.00363		0.00418		0.01205		0.02255		0.04381		
1383.2156	0.00363		0.00419		0.01207		0.02263		0.04391		
1383.3361	0.00363		0.00422		0.01211		0.0227		0.04402		
1383.4567	0.00363		0.00425		0.01215		0.02278		0.04414		
1383.5772	0.00363		0.00427		0.01219		0.02286		0.04425		
1383.6977	0.00362		0.00428		0.01223		0.02293		0.04435		
1383.8183	0.00361		0.00428		0.01225		0.02299		0.04444		
1383.9388	0.0036		0.00426		0.01227		0.02304		0.04451		
1384.0593	0.00358		0.00424		0.01227		0.02309		0.04458		
1384.1799	0.00357		0.00422		0.01228		0.02315		0.04464		
1384.3004	0.00357		0.00421		0.0123		0.02322		0.04472		
1384.4209	0.00358		0.00421		0.01232		0.0233		0.04482		
1384.5415	0.00359		0.00422		0.01236		0.02339		0.04492		
1384.662	0.00361		0.00423		0.01239		0.02349		0.04502		
1384.7825	0.00363		0.00424		0.01243		0.02358		0.04512		
1384.903	0.00365		0.00424		0.01246		0.02367		0.04522		
1385.0236	0.00365		0.00425		0.0125		0.02375		0.04531		
1385.1441	0.00365		0.00426		0.01253		0.02383		0.0454		
1385.2646	0.00365		0.00428		0.01257		0.02392		0.04551		
1385.3852	0.00364		0.0043		0.01262		0.024		0.04562		
1385.5057	0.00363		0.00433		0.01267		0.02409		0.04573		
1385.6262	0.00362		0.00436		0.01271		0.02417		0.04584		
1385.7468	0.00361		0.00437		0.01274		0.02425		0.04594		
1385.8673	0.00359		0.00437		0.01276		0.02433		0.04602		
1385.9878	0.00358		0.00437		0.01277		0.0244		0.04609		
1386.1084	0.00356		0.00436		0.01278		0.02448		0.04616		
1386.2289	0.00356		0.00435		0.0128		0.02457		0.04624		
1386.3494	0.00355		0.00435		0.01283		0.02468		0.04633		
1386.47	0.00356		0.00437		0.01287		0.02479		0.04645		
1386.5905	0.00356		0.00439		0.01292		0.0249		0.04657		
1386.711	0.00357		0.0044		0.01297		0.02501		0.04668		
1386.8315	0.00358		0.00442		0.01301		0.0251		0.04678		
1386.9521	0.00358		0.00443		0.01304		0.02518		0.04687		
1387.0726	0.00359		0.00443		0.01307		0.02525		0.04694		
1387.1931	0.00359		0.00445		0.0131		0.02532		0.04702		
1387.3137	0.00361		0.00446		0.01314		0.02541		0.0471		
1387.4342	0.00362		0.00449		0.01318		0.02552		0.04721		
1387.5547	0.00363		0.00453		0.01324		0.02563		0.04734		
1387.6753	0.00364		0.00456		0.01329		0.02576		0.04748		
1387.7958	0.00365		0.00458		0.01334		0.02588		0.04763		
1387.9163	0.00365		0.00459		0.01338		0.026		0.04776		
1388.0369	0.00365		0.00459		0.01342		0.0261		0.04788		
1388.1574	0.00366		0.00458		0.01345		0.02619		0.04799		
1388.2779	0.00367		0.00458		0.01348		0.02628		0.0481		
1388.3985	0.00369		0.00459		0.01353		0.02638		0.04822		
1388.519	0.00372		0.00461		0.01358		0.02648		0.04835		
1388.6395	0.00375		0.00464		0.01365		0.02659		0.04848		
1388.76	0.00378		0.00467		0.01371		0.0267		0.04862		
1388.8806	0.0038		0.0047		0.01376		0.02681		0.04874		
1389.0011	0.0038		0.00472		0.01381		0.02691		0.04886		
1389.1216	0.0038		0.00473		0.01384		0.02701		0.04896		
1389.2422	0.00378		0.00474		0.01387		0.0271		0.04906		
1389.3627	0.00376		0.00474		0.0139		0.02719		0.04916		
1389.4832	0.00374		0.00474		0.01393		0.02728		0.04927		
1389.6038	0.00372		0.00475		0.01397		0.02737		0.04939		
1389.7243	0.00371		0.00476		0.01401		0.02747		0.04951		
1389.8448	0.00371		0.00477		0.01405		0.02757		0.04963		
1389.9654	0.00371		0.00479		0.01408		0.02767		0.04976		
1390.0859	0.00371		0.0048		0.01412		0.02778		0.04987		
1390.2064	0.00371		0.00481		0.01416		0.02788		0.04999		
1390.3269	0.00371		0.00483		0.01421		0.02798		0.05011		
1390.4475	0.00371		0.00484		0.01426		0.0281		0.05023		
1390.568	0.00372		0.00487		0.01431		0.02821		0.05036		
