Reference:	"Jovanović et al. (2021)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2021.114398"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:CO (99.45:0.5:0.05)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/184"
n₁ Error Units:	2σ error bars calculated based on the uncertainties of ellipsometric parameters Is and Ic at different wavelengths.
k₁ Error Units:	2σ error bars calculated based on the uncertainties of ellipsometric parameters Is and Ic at different wavelengths.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
0.385	1.754		0.074368		
0.38	1.756		0.079097		
0.375	1.758		0.083967		
0.37	1.76		0.088803		
0.365	1.763		0.093326		
0.36	1.764		0.097564		
0.355	1.765		0.101826		
0.35	1.766		0.10661		
0.345	1.765		0.11282		
0.34	1.765		0.11984		
0.335	1.764		0.127515		
0.33	1.764		0.13588		
0.325	1.763		0.144889		
0.32	1.761		0.154416		
0.315	1.759		0.164217		
0.31	1.756		0.174114		
0.305	1.752		0.184008		
0.3	1.748	0.014	0.193142	0.004	
0.295	1.742		0.205826		
0.29	1.737		0.222159		
0.285	1.735		0.236243		
0.28	1.729		0.249262		
0.275	1.72		0.259586		
0.27	1.712		0.266657		
