Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH3 (1)"
Temperature:	"100K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/65"
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
547.5731	0.00561		
547.6936	0.00565		
547.8141	0.00573		
547.9346	0.00584		
548.0552	0.00599		
548.1757	0.00615		
548.2962	0.00626		
548.4168	0.00631		
548.5373	0.0063		
548.6578	0.00626		
548.7784	0.00623		
548.8989	0.00626		
549.0194	0.00637		
549.14	0.00655		
549.2605	0.00673		
549.381	0.00686		
549.5016	0.00689		
549.6221	0.00678		
549.7426	0.00656		
549.8631	0.00624		
549.9837	0.00589		
550.1042	0.00556		
550.2247	0.00528		
550.3453	0.00506		
550.4658	0.00491		
550.5863	0.00482		
550.7069	0.00478		
550.8274	0.00479		
550.9479	0.00483		
551.0685	0.00492		
551.189	0.00505		
551.3095	0.00523		
551.43	0.00545		
551.5506	0.00572		
551.6711	0.00603		
551.7916	0.00637		
551.9122	0.00674		
552.0327	0.00711		
552.1532	0.00747		
552.2738	0.00779		
552.3943	0.00805		
552.5148	0.00823		
552.6354	0.00831		
552.7559	0.00825		
552.8764	0.00806		
552.997	0.00772		
553.1175	0.00726		
553.238	0.00673		
553.3585	0.0062		
553.4791	0.00578		
553.5996	0.00552		
553.7201	0.0055		
553.8407	0.00569		
553.9612	0.00605		
554.0817	0.00649		
554.2023	0.00691		
554.3228	0.00721		
554.4433	0.00736		
554.5639	0.00737		
554.6844	0.00726		
554.8049	0.00708		
554.9255	0.00685		
555.046	0.00656		
555.1665	0.00619		
555.287	0.00573		
555.4076	0.00516		
555.5281	0.00456		
555.6486	0.00402		
555.7692	0.00366		
555.8897	0.00355		
556.0102	0.00373		
556.1308	0.00415		
556.2513	0.00469		
556.3718	0.00521		
556.4924	0.00561		
556.6129	0.00581		
556.7334	0.00583		
556.854	0.0057		
556.9745	0.0055		
557.095	0.00527		
557.2155	0.00502		
557.3361	0.00475		
557.4566	0.00442		
557.5771	0.00404		
557.6977	0.00366		
557.8182	0.00335		
557.9387	0.00321		
558.0593	0.00329		
558.1798	0.00361		
558.3003	0.00409		
558.4209	0.00461		
558.5414	0.00503		
558.6619	0.00524		
558.7825	0.00516		
558.903	0.00483		
559.0235	0.0043		
559.144	0.00367		
559.2646	0.00308		
559.3851	0.0026		
559.5056	0.0023		
559.6262	0.00223		
559.7467	0.00238		
559.8672	0.00273		
559.9878	0.00323		
560.1083	0.00379		
560.2288	0.00433		
560.3494	0.00474		
560.4699	0.00495		
560.5904	0.00494		
560.7109	0.00472		
560.8315	0.00441		
560.952	0.00411		
561.0725	0.00395		
561.1931	0.00399		
561.3136	0.00425		
561.4341	0.00464		
561.5547	0.00507		
561.6752	0.00541		
561.7957	0.00558		
561.9163	0.00555		
562.0368	0.00536		
562.1573	0.00507		
562.2779	0.00478		
562.3984	0.00456		
562.5189	0.00444		
562.6394	0.00441		
562.76	0.00444		
562.8805	0.00449		
563.001	0.00452		
563.1216	0.00453		
563.2421	0.00452		
563.3626	0.00449		
563.4832	0.00445		
563.6037	0.00439		
563.7242	0.00428		
563.8448	0.00411		
563.9653	0.00388		
