Reference:	"Jovanović et al. (2021)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2021.114398"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:CO (98.95:1:0.05)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/185"
n₁ Error Units:	2σ error bars calculated based on the uncertainties of ellipsometric parameters Is and Ic at different wavelengths.
k₁ Error Units:	2σ error bars calculated based on the uncertainties of ellipsometric parameters Is and Ic at different wavelengths.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
0.61	1.678			0.61	0.003325		
0.605	1.68			0.605	0.003251		
0.6	1.682	0.001		0.6	0.003312	0.002	
0.595	1.683			0.595	0.003631		
0.59	1.685			0.59	0.004037		
0.585	1.687			0.585	0.004529		
0.58	1.689			0.58	0.005108		
0.575	1.691			0.575	0.005889		
0.57	1.692			0.57	0.006622		
0.565	1.694			0.565	0.007427		
0.56	1.696			0.56	0.008302		
0.555	1.698			0.555	0.009252		
0.55	1.7			0.55	0.010286		
0.545	1.702			0.545	0.011407		
0.54	1.704			0.54	0.012531		
0.535	1.705			0.535	0.01346		
0.53	1.706			0.53	0.014399		
0.525	1.708	0.001		0.525	0.015358	0.001	
0.52	1.709			0.52	0.016336		
0.515	1.71			0.515	0.017366		
0.51	1.711			0.51	0.01851		
0.505	1.712			0.505	0.019894		
0.5	1.713			0.5	0.021465		
0.495	1.714			0.495	0.023354		
0.49	1.715			0.49	0.025238		
0.485	1.717			0.485	0.02693		
0.48	1.719			0.48	0.028476		
0.475	1.72			0.475	0.030003		
0.47	1.722			0.47	0.031606		
0.465	1.725			0.465	0.033347		
0.46	1.727			0.46	0.035955		
0.455	1.73			0.455	0.038053		
0.45	1.732			0.45	0.040312		
0.445	1.735			0.445	0.042693		
0.44	1.738			0.44	0.045148		
0.435	1.741			0.435	0.047483		
0.43	1.744			0.43	0.049835		
0.425	1.747			0.425	0.052047		
0.42	1.75			0.42	0.054286		
0.415	1.752			0.415	0.0568		
0.41	1.754			0.41	0.059806		
0.405	1.756			0.405	0.063267		
0.4	1.758	0.002		0.4	0.067081	0.002	
0.395	1.759			0.395	0.071205		
0.39	1.761			0.39	0.075617		
0.385	1.762			0.385	0.080418		
0.38	1.764			0.38	0.085361		
0.375	1.765			0.375	0.090533		
0.37	1.767			0.37	0.095888		
0.365	1.769			0.365	0.101266		
0.36	1.771			0.36	0.106368		
0.355	1.772			0.355	0.116806		
0.35	1.77			0.35	0.126696		
0.345	1.768			0.345	0.135271		
0.34	1.767			0.34	0.142939		
0.335	1.767			0.335	0.150874		
0.33	1.766			0.33	0.159276		
0.325	1.765			0.325	0.168187		
0.32	1.764			0.32	0.177551		
0.315	1.763			0.315	0.187246		
0.31	1.76			0.31	0.196315		
0.305	1.757			0.305	0.206262		
0.3	1.753	0.019		0.3	0.217143	0.007	
0.295	1.746			0.295	0.23104		
0.29	1.745			0.29	0.232975		
0.285	1.745			0.285	0.242264		
0.28	1.742			0.28	0.254508		
0.275	1.735			0.275	0.265758		
0.27	1.726			0.27	0.274774		
