Reference:	"Hudson & Gerakines (2019)"
DOI:	"doi:doi:10.1093/mnras/sty2821"
Sample Type:	"Ice"
Composition:	"C3H2O (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/157"
n₁ Error Units:	Not Applicable
n₂ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"n₂"	"Dn₂  (+/-)"	
544.319	1.4151		0.002615		
544.56	1.4137		0.000159		
544.801	1.4128		-0.003098		
545.042	1.413		-0.006971		
545.283	1.4145		-0.011018		
545.524	1.4174		-0.014616		
545.765	1.4215		-0.017135		
546.006	1.4262		-0.018137		
546.247	1.4307		-0.017517		
546.488	1.4346		-0.015534		
546.729	1.4372		-0.012717		
546.97	1.4386		-0.009701		
547.211	1.4388		-0.007034		
547.452	1.4385		-0.005033		
547.694	1.4379		-0.003725		
547.935	1.4375		-0.002896		
548.176	1.4374		-0.00224		
548.417	1.4374		-0.001501		
548.658	1.4373		-0.000589		
548.899	1.437		0.000406		
549.14	1.4363		0.001281		
549.381	1.4354		0.00184		
549.622	1.4345		0.001975		
549.863	1.4337		0.001716		
550.104	1.4332		0.001198		
550.345	1.433		0.0006		
550.586	1.4331		6.6E-5		
550.827	1.4334		-0.000325		
551.068	1.4338		-0.000559		
551.309	1.4343		-0.000652		
551.551	1.4348		-0.000617		
551.792	1.4353		-0.000447		
552.033	1.4357		-0.000136		
552.274	1.4361		0.0003		
552.515	1.4363		0.000807		
552.756	1.4364		0.001305		
552.997	1.4363		0.00172		
553.238	1.4362		0.002023		
553.479	1.4361		0.002241		
553.72	1.4361		0.002443		
553.961	1.4362		0.002699		
554.202	1.4362		0.00304		
554.443	1.4362		0.003434		
554.684	1.436		0.003806		
554.925	1.4358		0.004094		
555.166	1.4355		0.004292		
555.408	1.4354		0.004473		
555.649	1.4353		0.004751		
555.89	1.4352		0.005211		
556.131	1.4348		0.005831		
556.372	1.4341		0.006457		
556.613	1.4329		0.006835		
556.854	1.4314		0.006704		
557.095	1.43		0.005902		
557.336	1.4288		0.004448		
557.577	1.4283		0.002541		
557.818	1.4285		0.000502		
558.059	1.4295		-0.001339		
558.3	1.431		-0.002738		
558.541	1.4329		-0.003575		
558.782	1.4349		-0.00384		
559.023	1.4369		-0.003566		
559.265	1.4388		-0.002773		
559.506	1.4405		-0.001452		
559.747	1.4418		0.000403		
559.988	1.4425		0.002723		
560.229	1.4425		0.005312		
560.47	1.4415		0.007838		
560.711	1.4395		0.009885		
560.952	1.4369		0.011064		
561.193	1.434		0.011121		
561.434	1.4314		0.010032		
561.675	1.4294		0.008014		
561.916	1.4285		0.005463		
562.157	1.4286		0.002847		
562.398	1.4297		0.000586		
562.639	1.4314		-0.001026		
562.88	1.4336		-0.001839		
563.122	1.4358		-0.001826		
563.363	1.4379		-0.001051		
563.604	1.4395		0.000348		
563.845	1.4405		0.002178		
564.086	1.4407		0.004193		
564.327	1.4403		0.006119		
564.568	1.4393		0.007698		
564.809	1.4379		0.008747		
565.05	1.4364		0.009212		
565.291	1.4351		0.00918		
565.532	1.434		0.008852		
565.773	1.4333		0.008464		
566.014	1.4328		0.0082		
566.255	1.4323		0.008121		
566.496	1.4315		0.008155		
566.737	1.4305		0.008114		
566.979	1.4292		0.007774		
567.22	1.4277		0.006946		
567.461	1.4263		0.005526		
567.702	1.4253		0.003522		
567.943	1.4248		0.001051		
568.184	1.4251		-0.001677		
568.425	1.4263		-0.004382		
568.666	1.4283		-0.006737		
568.907	1.4312		-0.008406		
569.148	1.4345		-0.009103		
569.389	1.4379		-0.00865		
569.63	1.441		-0.007035		
569.871	1.4433		-0.004443		
570.112	1.4445		-0.001242		
570.353	1.4444		0.002062		
570.594	1.443		0.004932		
570.836	1.4407		0.006906		
571.077	1.4379		0.007704		
571.318	1.4352		0.007283		
571.559	1.4331		0.005837		
571.8	1.4318		0.003737		
572.041	1.4315		0.001428		
572.282	1.4322		-0.000663		
572.523	1.4335		-0.002216		
572.764	1.4353		-0.003053		
573.005	1.437		-0.003147		
573.246	1.4385		-0.002609		
573.487	1.4395		-0.001648		
573.728	1.44		-0.000525		
573.969	1.4399		0.000497		
574.21	1.4394		0.001205		
574.451	1.4388		0.001479		
574.693	1.4381		0.001308		
574.934	1.4377		0.000792		
575.175	1.4377		0.0001		
575.416	1.438		-0.000581		
575.657	1.4386		-0.001103		
575.898	1.4393		-0.001391		
576.139	1.44		-0.001444		
576.38	1.4407		-0.001309		
576.621	1.4414		-0.001044		
576.862	1.4419		-0.000685		
577.103	1.4424		-0.000242		
577.344	1.4428		0.00029		
577.585	1.4431		0.000905		
577.826	1.4432		0.00157		
578.067	1.4431		0.002224		
578.308	1.4428		0.002792		
578.55	1.4424		0.003215		
578.791	1.442		0.003464		
579.032	1.4415		0.003542		
579.273	1.441		0.003474		
579.514	1.4406		0.003284		
579.755	1.4403		0.002981		
579.996	1.44		0.00257		
580.237	1.4399		0.002057		
580.478	1.4399		0.001479		
580.719	1.4401		0.000898		
580.96	1.4406		0.000391		
581.201	1.4411		1.8E-5		
581.442	1.4417		-0.000205		
581.683	1.4422		-0.000306		
581.924	1.4428		-0.000343		
582.165	1.4433		-0.000359		
582.407	1.4439		-0.000347		
582.648	1.4446		-0.000234		
582.889	1.4454		8.5E-5		
583.13	1.4462		0.000701		
583.371	1.4468		0.001631		
583.612	1.447		0.002783		
583.853	1.4468		0.003972		
584.094	1.4461		0.004964		
584.335	1.445		0.005557		
584.576	1.4439		0.00564		
584.817	1.4429		0.005229		
585.058	1.4421		0.004447		
585.299	1.4418		0.003476		
585.54	1.4419		0.0025		
585.781	1.4424		0.001662		
586.022	1.4431		0.001046		
586.264	1.4439		0.000697		
586.505	1.4448		0.000639		
586.746	1.4457		0.000884		
586.987	1.4464		0.001415		
587.228	1.4469		0.002171		
587.469	1.447		0.003028		
587.71	1.4467		0.003809		
587.951	1.446		0.004321		
588.192	1.4452		0.00441		
588.433	1.4444		0.004011		
588.674	1.4439		0.003175		
588.915	1.4438		0.002048		
589.156	1.4443		0.000833		
589.397	1.4454		-0.000241		
589.638	1.4471		-0.00095		
589.879	1.4491		-0.001073		
590.121	1.4515		-0.000394		
590.362	1.4538		0.001268		
590.603	1.4556		0.003992		
590.844	1.4566		0.007674		
591.085	1.4561		0.011967		
591.326	1.4539		0.016272		
591.567	1.4499		0.019824		
591.808	1.4445		0.021844		
592.049	1.4385		0.021758		
592.29	1.4328		0.019417		
592.531	1.4284		0.015222		
592.772	1.4259		0.010068		
593.013	1.4254		0.005046		
593.254	1.4263		0.00102		
593.495	1.4275		-0.001716		
593.736	1.4283		-0.003526		
593.978	1.428		-0.00526		
594.219	1.4271		-0.007879		
594.46	1.4262		-0.012037		
594.701	1.4266		-0.01773		
594.942	1.4293		-0.024192		
595.183	1.4346		-0.030115		
595.424	1.4422		-0.034136		
595.665	1.4509		-0.035337		
595.906	1.4594		-0.033534		
596.147	1.4664		-0.029233		
596.388	1.4712		-0.023423		
596.629	1.4735		-0.017245		
596.87	1.4738		-0.011674		
597.111	1.4727		-0.007319		
597.352	1.4711		-0.004326		
597.593	1.4695		-0.002451		
597.835	1.4684		-0.001241		
598.076	1.4677		-0.000246		
598.317	1.4671		0.000808		
598.558	1.4665		0.001957		
598.799	1.4656		0.003059		
599.04	1.4644		0.003898		
599.281	1.4631		0.004312		
599.522	1.4619		0.004252		
599.763	1.4609		0.003803		
600.004	1.4604		0.003132		
600.245	1.4601		0.002426		
600.486	1.4602		0.00183		
600.727	1.4604		0.001409		
600.968	1.4606		0.001149		
601.209	1.4608		0.000981		
601.45	1.4609		0.00081		
601.692	1.4609		0.000543		
601.933	1.4609		0.000114		
602.174	1.4611		-0.000499		
602.415	1.4614		-0.00126		
602.656	1.462		-0.002074		
602.897	1.463		-0.002808		
603.138	1.4642		-0.003317		
603.379	1.4655		-0.003494		
603.62	1.4669		-0.003305		
603.861	1.4681		-0.002812		
604.102	1.469		-0.00215		
604.343	1.4696		-0.001484		
604.584	1.47		-0.000952		
604.825	1.4704		-0.000615		
605.066	1.4708		-0.00044		
605.307	1.4713		-0.000325		
605.549	1.472		-0.000146		
605.79	1.4726		0.000175		
606.031	1.4732		0.000637		
606.272	1.4737		0.001155		
606.513	1.4739		0.001597		
606.754	1.4739		0.001834		
606.995	1.474		0.0018		
607.236	1.4742		0.001512		
607.477	1.4746		0.00106		
607.718	1.4753		0.000578		
607.959	1.4763		0.000191		
608.2	1.4775		-1.7E-5		
608.441	1.4787		-1.2E-5		
608.682	1.48		0.000198		
608.923	1.4813		0.000583		
609.164	1.4824		0.001104		
609.406	1.4834		0.001719		
609.647	1.4843		0.002373		
609.888	1.485		0.002997		
610.129	1.4855		0.003509		
610.37	1.486		0.003834		
610.611	1.4866		0.003929		
610.852	1.4872		0.003809		
611.093	1.4882		0.003554		
611.334	1.4894		0.003286		
611.575	1.491		0.003143		
611.816	1.4927		0.003224		
612.057	1.4946		0.00357		
612.298	1.4964		0.00415		
612.539	1.4982		0.00489		
612.78	1.4999		0.005706		
613.021	1.5016		0.006542		
613.263	1.5033		0.007387		
613.504	1.5051		0.008272		
613.745	1.507		0.009248		
613.986	1.5091		0.010366		
614.227	1.5112		0.011656		
614.468	1.5133		0.013126		
614.709	1.5155		0.01478		
614.95	1.5177		0.016623		
615.191	1.52		0.018681		
615.432	1.5222		0.020992		
615.673	1.5244		0.023595		
615.914	1.5266		0.026506		
616.155	1.5286		0.029713		
616.396	1.5303		0.033167		
616.637	1.5318		0.036801		
616.878	1.533		0.040547		
617.12	1.534		0.044365		
617.361	1.5349		0.048249		
617.602	1.5357		0.052237		
617.843	1.5364		0.056394		
618.084	1.5369		0.060784		
618.325	1.5372		0.065454		
618.566	1.5372		0.070402		
618.807	1.5367		0.075576		
619.048	1.5357		0.080873		
619.289	1.5341		0.086164		
619.53	1.532		0.091314		
619.771	1.5294		0.09622		
620.012	1.5265		0.100822		
620.253	1.5233		0.105123		
620.494	1.52		0.109169		
620.735	1.5164		0.113023		
620.976	1.5127		0.116723		
621.218	1.5087		0.120267		
621.459	1.5045		0.123595		
621.7	1.4999		0.126621		
621.941	1.4951		0.12925		
622.182	1.4901		0.131434		
622.423	1.4852		0.133187		
622.664	1.4804		0.134596		
622.905	1.4756		0.135779		
623.146	1.471		0.136847		
623.387	1.4664		0.137859		
623.628	1.4616		0.138791		
623.869	1.4566		0.13955		
624.11	1.4513		0.140007		
624.351	1.4459		0.140038		
624.592	1.4405		0.139579		
624.833	1.4352		0.13864		
625.075	1.4301		0.13729		
625.316	1.4253		0.135644		
625.557	1.4208		0.133808		
625.798	1.4165		0.131856		
626.039	1.4123		0.129827		
626.28	1.4082		0.127715		
626.521	1.4042		0.125485		
626.762	1.4002		0.12309		
627.003	1.3963		0.120493		
627.244	1.3924		0.117655		
627.485	1.3887		0.114544		
627.726	1.385		0.111136		
627.967	1.3816		0.107433		
628.208	1.3785		0.103452		
628.449	1.3757		0.099248		
628.69	1.3733		0.094887		
628.932	1.3712		0.090438		
629.173	1.3694		0.085955		
629.414	1.368		0.081454		
629.655	1.3668		0.076928		
629.896	1.3659		0.072362		
630.137	1.3654		0.067755		
630.378	1.3652		0.063146		
630.619	1.3654		0.058613		
630.86	1.366		0.05426		
631.101	1.3669		0.050178		
631.342	1.368		0.046412		
631.583	1.3691		0.042943		
631.824	1.3703		0.039693		
632.065	1.3715		0.036548		
632.306	1.3726		0.033397		
632.547	1.3738		0.030175		
632.789	1.3752		0.026886		
633.03	1.3769		0.0236		
633.271	1.379		0.020438		
633.512	1.3815		0.017536		
633.753	1.3842		0.015014		
633.994	1.3871		0.012943		
634.235	1.39		0.011338		
634.476	1.3927		0.010151		
634.717	1.3952		0.00929		
634.958	1.3975		0.008636		
635.199	1.3995		0.008069		
635.44	1.4012		0.007489		
635.681	1.4029		0.006841		
635.922	1.4044		0.006119		
636.163	1.4061		0.00536		
636.404	1.4077		0.004624		
636.646	1.4095		0.00397		
636.887	1.4112		0.003426		
637.128	1.4128		0.002985		
637.369	1.4144		0.002607		
637.61	1.416		0.002242		
637.851	1.4174		0.001857		
638.092	1.4189		0.001454		
638.333	1.4205		0.001073		
638.574	1.4222		0.000779		
638.815	1.4238		0.000631		
639.056	1.4255		0.000654		
639.297	1.427		0.000828		
639.538	1.4284		0.001091		
639.779	1.4296		0.001364		
640.02	1.4307		0.001577		
640.261	1.4317		0.001695		
640.503	1.4327		0.00173		
640.744	1.4338		0.001724		
640.985	1.4349		0.001735		
641.226	1.436		0.001805		
641.467	1.4371		0.001942		
641.708	1.4381		0.002123		
641.949	1.439		0.002294		
642.19	1.4399		0.002399		
642.431	1.4407		0.002396		
642.672	1.4416		0.002278		
642.913	1.4426		0.002074		
643.154	1.4437		0.001848		
643.395	1.4451		0.001686		
643.636	1.4466		0.001672		
643.877	1.4482		0.001873		
644.118	1.4497		0.00232		
644.36	1.4512		0.002998		
644.601	1.4525		0.003849		
644.842	1.4536		0.004786		
645.083	1.4545		0.005716		
645.324	1.4551		0.006562		
645.565	1.4557		0.007286		
645.806	1.4563		0.00789		
646.047	1.4569		0.008414		
646.288	1.4576		0.008912		
646.529	1.4582		0.009437		
646.77	1.4589		0.010015		
647.011	1.4596		0.010645		
647.252	1.4601		0.011301		
647.493	1.4606		0.011945		
647.734	1.461		0.012543		
647.975	1.4613		0.013071		
648.217	1.4616		0.013515		
648.458	1.4619		0.013871		
648.699	1.4622		0.014135		
648.94	1.4626		0.014306		
649.181	1.463		0.014395		
649.422	1.4636		0.014429		
649.663	1.4643		0.014453		
649.904	1.4651		0.014527		
650.145	1.4661		0.014712		
650.386	1.4671		0.015052		
650.627	1.4682		0.015564		
650.868	1.4692		0.01623		
651.109	1.4702		0.017017		
651.35	1.471		0.017883		
651.591	1.4718		0.018797		
651.832	1.4724		0.019744		
652.074	1.473		0.020717		
652.315	1.4735		0.021708		
652.556	1.4739		0.022699		
652.797	1.4741		0.023657		
653.038	1.4743		0.024545		
653.279	1.4744		0.025335		
653.52	1.4745		0.026025		
653.761	1.4747		0.026636		
654.002	1.4749		0.02721		
654.243	1.4751		0.02779		
654.484	1.4754		0.028401		
654.725	1.4757		0.029046		
654.966	1.4759		0.029703		
655.207	1.4761		0.030345		
655.448	1.4763		0.030952		
655.689	1.4764		0.031523		
655.931	1.4766		0.03207		
656.172	1.4768		0.032607		
