Reference:	"Khare et al. (1993)"
DOI:	"doi:https://doi.org/10.1006/icar.1993.1071"
Sample Type:	"Ice Tholin"
Composition:	"H2O:C2H6 (6:1)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/198"
n₁ Error Units:	n values are accurate to ± 0.01 on an absolute scale and to ± 0.002 on a relative scale.
k₁ Error Units:	k values are estimated to be accurate to ± 20%, except in regions where k ≤ 1E-2, where they are accurate to ± 50%.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
0.269	1.63			0.379	0.0067		
0.248	1.647			0.336	0.0165		
0.23	1.672			0.299	0.0353		
0.221	1.681			0.248	0.0691		
0.214	1.66			0.23	0.0965		
0.203	1.611			0.221	0.135		
0.191	1.594			0.214	0.179		
0.185	1.597			0.207	0.184		
0.175	1.616			0.2	0.171		
0.17	1.642			0.194	0.163		
0.161	1.667			0.188	0.149		
0.153	1.716			0.182	0.139		
0.146	1.771			0.177	0.13		
0.138	1.821			0.172	0.119		
0.133	1.803			0.168	0.132		
0.129	1.78			0.163	0.135		
0.125	1.724			0.159	0.134		
0.123	1.645			0.155	0.145		
0.12	1.582			0.151	0.159		
0.117	1.509			0.148	0.177		
0.113	1.471			0.144	0.21		
0.11	1.577			0.141	0.254		
0.108	1.69			0.138	0.31		
0.107	1.734			0.135	0.365		
0.105	1.773			0.132	0.411		
0.103	1.732			0.129	0.457		
0.102	1.679			0.127	0.506		
0.101	1.602			0.124	0.567		
0.0992	1.566			0.122	0.569		
0.0976	1.555			0.119	0.55		
0.0939	1.515			0.115	0.476		
0.0905	1.453			0.113	0.418		
0.0867	1.369			0.111	0.327		
0.0843	1.301			0.109	0.298		
0.0805	1.195			0.107	0.367		
0.0765	1.122			0.105	0.501		
0.0734	1.071			0.103	0.648		
0.07	1.021			0.102	0.663		
0.0667	0.976			0.1	0.655		
0.0636	0.941			0.0984	0.643		
0.0602	0.913			0.0969	0.658		
0.0564	0.896			0.0954	0.674		
				0.0939	0.69		
				0.0925	0.706		
				0.0912	0.72		
				0.0898	0.733		
				0.0886	0.746		
				0.0873	0.757		
				0.0861	0.766		
				0.0849	0.775		
				0.0838	0.781		
				0.0827	0.771		
				0.0816	0.756		
				0.0805	0.741		
				0.0704	0.622		
				0.0602	0.47		
