Reference:	"He et al. (2024)"
DOI:	"doi:https://doi.org/10.1038/s41550-023-02140-4"
Sample Type:	"Gas Tholin"
Composition:	"H2O:He:CH4:CO2:N2:H2 (0.56:0.147:0.11:0.1:0.064:0.019)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/75"
n₁ Error Units:	Uncertainties on n values of 3-4% from 0.4 to 28.6 μm.
k₁ Error Units:	Uncertainties on k values of 1-4% at wavelengths > 2.9 μm and up to 9% for wavelengths between 0.4 to 2.9 μm.
T₁ Caption:	Transmission spectrum of a tholin-KBr pellet made with 0.08% in mass of tholin powder
T₁ Error Units:	Not Applicable
T₂ Caption:	Transmission spectrum of a tholin-KBr pellet made with 0.38% in mass of tholin powder
T₂ Error Units:	Not Applicable
T₃ Caption:	Transmission spectrum of a tholin-KBr pellet made with 1.90% in mass of tholin powder
T₃ Error Units:	Not Applicable
R₁ Caption:	Reflection spectrum of a tholin sample analyzed with an incidence angle of 15°
R₁ Error Units:	Not Applicable
R₂ Caption:	Reflection spectrum of a tholin sample analyzed with an incidence angle of 45°
R₂ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavelength (µm)"	"T₁"	"DT₁  (+/-)"	"T₂"	"DT₂  (+/-)"	"T₃"	"DT₃  (+/-)"		"Wavenumber (cm⁻¹)"	"R₁"	"DR₁  (+/-)"	"R₂"	"DR₂  (+/-)"	
26.0890764	1.6420934	3.779122928	0.080104487	1.741537715		26.0890764	0.964016911		0.862894686		0.390421264			9067.145776355	0.072623123		0.073533145		
26.0563012	1.6421901	3.779187231	0.08017812	1.753776466		26.0563012	0.963997952		0.862130145		0.389349483			9068.110058582	0.072602769		0.07354769		
26.0236082	1.6423136	3.779250672	0.080231073	1.772492392		26.0236082	0.963936621		0.860961714		0.388324632			9069.074340808	0.072582398		0.07356244		
25.9909972	1.6424547	3.779313215	0.080321484	1.769236072		25.9909972	0.963884653		0.859411325		0.38747131			9070.038623035	0.072562029		0.073577511		
25.9584678	1.6425817	3.779374885	0.080434525	1.753630614		25.9584678	0.963762429		0.858609219		0.386785611			9071.002905261	0.072541648		0.073592911		
25.9260197	1.6426796	3.779435757	0.080559592	1.730073018		25.9260197	0.963665048		0.857674366		0.386152311			9071.967187488	0.072521245		0.073608538		
25.8936526	1.6427981	3.779495953	0.080643148	1.721576795		25.8936526	0.96356735		0.857583529		0.385472916			9072.931469715	0.07250086		0.073624247		
25.8613663	1.6429109	3.779555544	0.080816947	1.692972664		25.8613663	0.963403791		0.857637724		0.384755308			9073.895751941	0.072480597		0.073639916		
25.8291603	1.6429685	3.779614512	0.080966391	1.665050841		25.8291603	0.963319474		0.857425103		0.384075774			9074.860034168	0.072460567		0.073655479		
25.7970345	1.6430134	3.779672815	0.081096735	1.639448719		25.7970345	0.963230652		0.856797512		0.383465926			9075.824316394	0.072440821		0.073670904		
25.7649885	1.6430749	3.779730417	0.081203899	1.620565474		25.7649885	0.963118161		0.855718431		0.38287387			9076.788598621	0.072421324		0.073686171		
25.733022	1.6431255	3.779787291	0.081354881	1.591384085		25.733022	0.963009181		0.85434623		0.38225607			9077.752880847	0.072401994		0.073701263		
25.7011348	1.6431862	3.779843476	0.081459065	1.572164375		25.7011348	0.962967731		0.852977534		0.381655291			9078.717163074	0.072382763		0.073716196		
25.6693264	1.6432021	3.779899066	0.081667787	1.525230736		25.6693264	0.962871947		0.851883713		0.381133302			9079.681445301	0.072363604		0.073731031		
25.6375967	1.6431701	3.779954119	0.081749859	1.50754354		25.6375967	0.962763065		0.851210073		0.38064957			9080.645727527	0.072344502		0.073745865		
25.6059454	1.6431917	3.780008671	0.081823368	1.497575247		25.6059454	0.962651816		0.85101433		0.380059647			9081.610009754	0.072325415		0.073760783		
25.5743721	1.6432507	3.780062717	0.081904818	1.497021231		25.5743721	0.962574092		0.85133939		0.379250295			9082.57429198	0.072306273		0.07377582		
25.5428765	1.6432968	3.78011624	0.082048005	1.491808136		25.5428765	0.962473677		0.852171263		0.378254724			9083.538574207	0.072287027		0.073790962		
25.5114585	1.6433383	3.780169268	0.082150702	1.498553902		25.5114585	0.962384558		0.85332421		0.377211594			9084.502856433	0.072267703		0.073806179		
25.4801176	1.6434028	3.78022188	0.082308238	1.490595928		25.4801176	0.962184969		0.854444047		0.376226752			9085.46713866	0.072248393		0.073821459		
25.4488537	1.6434061	3.780274133	0.082528748	1.464524412		25.4488537	0.961985948		0.855190241		0.375312249			9086.431420886	0.072229178		0.073836817		
25.4176664	1.6433329	3.780326014	0.082705892	1.445736564		25.4176664	0.96182001		0.85543717		0.374454043			9087.395703113	0.072210053		0.073852263		
25.3865554	1.6432728	3.780377522	0.082811429	1.436599493		25.3865554	0.961784652		0.855282469		0.373685392			9088.35998534	0.072190908		0.073867769		
25.3555205	1.6432061	3.780428616	0.082970833	1.410835866		25.3555205	0.961581307		0.854858457		0.373067482			9089.324267566	0.072171615		0.073883257		
25.3245614	1.6430693	3.780479238	0.083086885	1.386603449		25.3245614	0.961408131		0.854185529		0.372625378			9090.288549793	0.072152137		0.073898628		
25.2936778	1.6429635	3.780529342	0.0830859	1.37816855		25.2936778	0.961398131		0.85325107		0.372323043			9091.252832019	0.07213258		0.073913813		
25.2628694	1.6429014	3.780578886	0.083122349	1.360743691		25.2628694	0.961308081		0.852185564		0.372075472			9092.217114246	0.072113131		0.073928796		
25.232136	1.6428671	3.780627847	0.083109281	1.356272577		25.232136	0.961298131		0.851271204		0.37175897			9093.181396472	0.072093926		0.073943615		
25.2014772	1.6428561	3.780676291	0.083152076	1.351170178		25.2014772	0.961208081		0.850750273		0.371237034			9094.145678699	0.072074951		0.073958321		
25.1708929	1.642855	3.78072434	0.083166635	1.366228687		25.1708929	0.961167981		0.850647148		0.370417629			9095.109960926	0.072056045		0.073972952		
25.1403827	1.6428503	3.780772059	0.083241079	1.382625412		25.1403827	0.961096371		0.850779639		0.369312205			9096.074243152	0.072037008		0.073987517		
