Reference:	"Gerakines and Hudson (2020)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/abad39"
Sample Type:	"Ice"
Composition:	"CH3OH (1)"
Temperature:	"120K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/54"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
531.6629391	1.499457219		-0.012972099			531.6629391	-0.001665		
531.7834702	1.500113517		-0.012130604			531.7834702	-0.001522		
531.9040014	1.500554602		-0.011253022			531.9040014	-0.001374		
532.0245326	1.500766419		-0.010344507			532.0245326	-0.001221999		
532.1450637	1.500734503		-0.009446255			532.1450637	-0.001072999		
532.2655949	1.500423121		-0.008610756			532.2655949	-0.000935999		
532.3861261	1.499838532		-0.007940158			532.3861261	-0.000828		
532.5066572	1.499017673		-0.007525925			532.5066572	-0.000764		
532.6271884	1.498040909		-0.007455384			532.6271884	-0.000758		
532.7477196	1.497001597		-0.007798495			532.7477196	-0.000821001		
532.8682507	1.496053038		-0.008609135			532.8682507	-0.000961001		
532.9887819	1.495369199		-0.00988102			532.9887819	-0.001176002		
533.109313	1.495157993		-0.011535532			533.109313	-0.001452		
533.2298442	1.495587982		-0.013395267			533.2298442	-0.001759001		
533.3503754	1.49677809		-0.015190701			533.3503754	-0.002052001		
533.4709065	1.498689736		-0.016589098			533.4709065	-0.002276001		
533.5914377	1.501151829		-0.017281244			533.5914377	-0.00238		
533.7119689	1.503811085		-0.017045773			533.7119689	-0.002327999		
533.8325	1.506256936		-0.015869549			533.8325	-0.002119		
533.9530312	1.508088037		-0.013921661			533.9530312	-0.001782999		
534.0735624	1.509043283		-0.011573722			534.0735624	-0.001383999		
534.1940935	1.509081704		-0.009255387			534.1940935	-0.000994999		
534.3146247	1.508370651		-0.007350621			534.3146247	-0.000679999		
534.4351559	1.507232314		-0.006096797			534.4351559	-0.000476999		
534.555687	1.506035621		-0.005520478			534.555687	-0.000388		
534.6762182	1.505069222		-0.005484319			534.6762182	-0.000388		
534.7967493	1.504500961		-0.005744032			534.7967493	-0.000435		
534.9172805	1.50433233		-0.006054435			534.9172805	-0.000488		
535.0378117	1.504470422		-0.006232634			535.0378117	-0.000517		
535.1583428	1.504763117		-0.006207419			535.1583428	-0.000511		
535.278874	1.505116182		-0.005981551			535.278874	-0.000471		
535.3994052	1.505459557		-0.005570578			535.3994052	-0.0004		
535.5199363	1.505758438		-0.004985293			535.5199363	-0.0003		
535.6404675	1.505965844		-0.004218014			535.6404675	-0.000169999		
535.7609987	1.506004764		-0.00325376			535.7609987	-7.999E-6		
535.8815298	1.505752254		-0.002141035			535.8815298	0.000177001		
536.002061	1.505110938		-0.000988651			536.002061	0.000366		
536.1225921	1.504024677		3.412E-6			536.1225921	0.000525		
536.2431233	1.502583943		0.000628444			536.2431233	0.00062		
536.3636545	1.500958136		0.000729218			536.3636545	0.000626		
536.4841856	1.49941228		0.000263761			536.4841856	0.000537999		
536.6047168	1.498175796		-0.000676075			536.6047168	0.000372999		
536.725248	1.497422407		-0.001887091			536.725248	0.000165998		
536.8457791	1.497171149		-0.003123277			536.8457791	-4.2E-5		
536.9663103	1.497341844		-0.004171088			536.9663103	-0.000216		
537.0868415	1.497750335		-0.004909769			537.0868415	-0.000337		
537.2073726	1.498224622		-0.005321453			537.2073726	-0.000403		
537.3279038	1.498601154		-0.0054784			537.3279038	-0.000427		
537.4484349	1.498818737		-0.00550412			537.4484349	-0.00043		
537.5689661	1.498867186		-0.005517729			537.5689661	-0.000432		
537.6894973	1.498812382		-0.005605159			537.6894973	-0.000447		
537.8100284	1.498722483		-0.005810604			537.8100284	-0.000482		
537.9305596	1.498702842		-0.00612586			537.9305596	-0.000535		
538.0510908	1.498807265		-0.006493093			538.0510908	-0.000596		
538.1716219	1.499085921		-0.006830527			538.1716219	-0.000651		
538.2921531	1.499513952		-0.007024081			538.2921531	-0.000681		
538.4126843	1.500021295		-0.006976237			538.4126843	-0.00067		
538.5332154	1.500457436		-0.006628441			538.5332154	-0.000609		
538.6537466	1.500655732		-0.006010623			538.6537466	-0.000503999		
538.7742777	1.500447539		-0.005247302			538.7742777	-0.000376999		
538.8948089	1.499745948		-0.004560843			538.8948089	-0.000266		
539.0153401	1.498588457		-0.004232219			539.0153401	-0.000218		
539.1358712	1.497190076		-0.004484552			539.1358712	-0.000269		
539.2564024	1.495844312		-0.005419195			539.2564024	-0.000434001		
539.3769336	1.494899056		-0.006959507			539.3769336	-0.000698002		
539.4974647	1.49459034		-0.008861746			539.4974647	-0.001019002		
539.6179959	1.49502814		-0.010793168			539.6179959	-0.001341002		
539.7385271	1.496107794		-0.012408977			539.7385271	-0.001607		
539.8590582	1.497584174		-0.013493447			539.8590582	-0.001782		
539.9795894	1.499156886		-0.013997482			539.9795894	-0.001859		
540.1001206	1.500581671		-0.014016404			540.1001206	-0.001855		
540.2206517	1.501713458		-0.013748312			540.2206517	-0.001804		
540.3411829	1.502559031		-0.01338308			540.3411829	-0.001738		
540.461714	1.503191936		-0.013058912			540.461714	-0.00168		
540.5822452	1.503749316		-0.012809552			540.5822452	-0.001635		
540.7027764	1.504294449		-0.012589668			540.7027764	-0.001595		
540.8233075	1.504851944		-0.012340995			540.8233075	-0.00155		
540.9438387	1.505378444		-0.01202673			540.9438387	-0.001494		
541.0643699	1.505835851		-0.011651538			541.0643699	-0.001428		
541.184901	1.506182275		-0.011267051			541.184901	-0.001361		
541.3054322	1.506455935		-0.01093342			541.3054322	-0.001303		
541.4259634	1.506707831		-0.01066999			541.4259634	-0.001257		
541.5464945	1.507006799		-0.01044375			541.5464945	-0.001217		
541.6670257	1.507356019		-0.010190039			541.6670257	-0.001172		
541.7875568	1.507727436		-0.009849076			541.7875568	-0.001112		
541.908088	1.508034004		-0.009411976			541.908088	-0.001036		
542.0286192	1.508223154		-0.00891802			542.0286192	-0.000951		
542.1491503	1.508244974		-0.008459403			542.1491503	-0.000873		
542.2696815	1.508165515		-0.008138366			542.2696815	-0.000819		
542.3902127	1.508064835		-0.007998922			542.3902127	-0.000796		
542.5107438	1.508081006		-0.008040198			542.5107438	-0.000803		
542.631275	1.508303732		-0.008159575			542.631275	-0.000822		
542.7518062	1.508767158		-0.008234869			542.7518062	-0.000832		
542.8723373	1.509427732		-0.008141317			542.8723373	-0.000812		
542.9928685	1.510208449		-0.007788481			542.9928685	-0.000747		
543.1133996	1.510978553		-0.007130982			543.1133996	-0.000629999		
543.2339308	1.511636133		-0.006188798			543.2339308	-0.000464999		
543.354462	1.512080785		-0.004993225			543.354462	-0.000258		
543.4749931	1.512236481		-0.003611103			543.4749931	-2.1E-5		
543.5955243	1.512035566		-0.002115051			543.5955243	0.000233001		
543.7160555	1.511421635		-0.000601331			543.7160555	0.000487001		
543.8365866	1.510350976		0.00079213			543.8365866	0.000717001		
543.9571178	1.508847536		0.001900425			543.9571178	0.000895001		
544.077649	1.506990982		0.002555099			544.077649	0.000993		
544.1981801	1.504949432		0.002623838			544.1981801	0.00099		
544.3187113	1.502928827		0.002036913			544.3187113	0.000876		
544.4392424	1.501182762		0.000823415			544.4392424	0.000657999		
544.5597736	1.49990555		-0.00088308			544.5597736	0.000359998		
544.6803048	1.499238351		-0.002897775			544.6803048	1.3998E-5		
544.8008359	1.499230458		-0.005007641			544.8008359	-0.000344003		
