Reference:	"Sciamma-O'Brien et al. (2023)"
DOI:	"doi:https://doi.org/10.3847/PSJ/acd83f"
Sample Type:	"Gas Tholin"
Composition:	"Ar:CH4 (95:5)"
Temperature:	"150K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/279"
n₁ Error Units:	Standard Deviation
k₁ Error Units:	Standard Deviation

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
1.41673	1.51973	0.00386		0.50344	0.000421	0.000336	
1.41522	1.51974	0.00386		0.5027	0.000432	0.000339	
1.41371	1.51975	0.00386		0.50196	0.000443	0.000343	
1.41221	1.51975	0.00386		0.50121	0.000454	0.000346	
1.4107	1.51976	0.00386		0.50047	0.000466	0.00035	
1.40919	1.51977	0.00386		0.49973	0.000478	0.000353	
1.40768	1.51978	0.00386		0.49898	0.00049	0.000356	
1.40617	1.51979	0.00385		0.49824	0.000502	0.00036	
1.40466	1.5198	0.00385		0.4975	0.000515	0.000363	
1.40315	1.5198	0.00386		0.49676	0.000528	0.000366	
1.40164	1.51981	0.00386		0.49601	0.000541	0.000369	
1.40013	1.51982	0.00385		0.49527	0.000554	0.000372	
1.39862	1.51983	0.00385		0.49453	0.000567	0.000375	
1.3971	1.51984	0.00385		0.49378	0.000581	0.000378	
1.39559	1.51984	0.00386		0.49304	0.000595	0.000381	
1.39408	1.51985	0.00385		0.4923	0.000609	0.000383	
1.39257	1.51986	0.00385		0.49155	0.000623	0.000386	
1.39106	1.51987	0.00385		0.49081	0.000638	0.000389	
1.38954	1.51988	0.00385		0.49007	0.000653	0.000391	
1.38803	1.51988	0.00385		0.48932	0.000668	0.000394	
1.38652	1.51989	0.00385		0.48858	0.000684	0.000396	
1.385	1.5199	0.00385		0.48783	0.000699	0.000398	
1.38349	1.51991	0.00386		0.48709	0.000715	0.000401	
1.38198	1.51992	0.00385		0.48635	0.000731	0.000403	
1.38046	1.51992	0.00385		0.4856	0.000748	0.000405	
1.37895	1.51993	0.00385		0.48486	0.000765	0.000407	
1.37743	1.51994	0.00385		0.48411	0.000781	0.000409	
1.37592	1.51995	0.00385		0.48337	0.000799	0.000411	
1.3744	1.51996	0.00385		0.48262	0.000816	0.000413	
1.37289	1.51997	0.00385		0.48188	0.000834	0.000415	
1.37137	1.51997	0.00385		0.48113	0.000852	0.000417	
1.36985	1.51998	0.00385		0.48039	0.00087	0.000418	
1.36834	1.51999	0.00385		0.47964	0.000889	0.00042	
1.36682	1.52	0.00385		0.4789	0.000907	0.000422	
1.3653	1.52001	0.00385		0.47815	0.000926	0.000423	
1.36378	1.52002	0.00385		0.47741	0.000946	0.000424	
1.36227	1.52003	0.00385		0.47666	0.000965	0.000426	
1.36075	1.52004	0.00385		0.47592	0.000985	0.000427	
1.35923	1.52004	0.00385		0.47517	0.001005	0.000428	
1.35771	1.52005	0.00385		0.47443	0.001026	0.000429	
1.35619	1.52006	0.00385		0.47368	0.001047	0.00043	
1.35467	1.52007	0.00385		0.47294	0.001068	0.000431	
1.35315	1.52008	0.00385		0.47219	0.001089	0.000432	
1.35163	1.52009	0.00385		0.47144	0.00111	0.000433	
1.35011	1.5201	0.00385		0.4707	0.001132	0.000434	
1.34859	1.52011	0.00385		0.46995	0.001154	0.000435	
1.34707	1.52012	0.00385		0.46921	0.001177	0.000435	
1.34555	1.52013	0.00385		0.46846	0.0012	0.000436	
1.34403	1.52014	0.00385		0.46771	0.001223	0.000436	
1.34251	1.52014	0.00385		0.46697	0.001246	0.000437	
1.34099	1.52015	0.00385		0.46622	0.00127	0.000437	
1.33946	1.52016	0.00385		0.46547	0.001294	0.000437	
1.33794	1.52017	0.00385		0.46473	0.001318	0.000438	
1.33642	1.52018	0.00385		0.46398	0.001342	0.000438	
1.3349	1.52019	0.00385		0.46323	0.001367	0.000438	
1.33337	1.5202	0.00385		0.46249	0.001392	0.000438	
1.33185	1.52021	0.00384		0.46174	0.001418	0.000438	
1.33033	1.52022	0.00384		0.46099	0.001444	0.000437	
1.3288	1.52023	0.00384		0.46025	0.00147	0.000437	
1.32728	1.52024	0.00384		0.4595	0.001496	0.000437	
1.32575	1.52025	0.00385		0.45875	0.001523	0.000437	
1.32423	1.52026	0.00385		0.458	0.00155	0.000436	
1.3227	1.52027	0.00385		0.45726	0.001578	0.000436	
1.32118	1.52028	0.00385		0.45651	0.001605	0.000435	
1.31965	1.52029	0.00385		0.45576	0.001633	0.000434	
1.31813	1.52029	0.00384		0.45501	0.001662	0.000433	
1.3166	1.5203	0.00384		0.45426	0.00169	0.000433	
1.31507	1.52031	0.00384		0.45352	0.00172	0.000432	
1.31355	1.52032	0.00384		0.45277	0.001749	0.000431	
1.31202	1.52033	0.00384		0.45202	0.001779	0.00043	
1.31049	1.52034	0.00384		0.45127	0.001809	0.000429	
1.30896	1.52035	0.00384		0.45052	0.001839	0.000428	
1.30743	1.52036	0.00384		0.44977	0.00187	0.000426	
1.30591	1.52037	0.00384		0.44903	0.001901	0.000425	
1.30438	1.52038	0.00384		0.44828	0.001933	0.000424	
1.30285	1.5204	0.00384		0.44753	0.001964	0.000422	
1.30132	1.52041	0.00384		0.44678	0.001997	0.000421	
