Reference:	"Sciamma-O'Brien et al. (2023)"
DOI:	"doi:https://doi.org/10.3847/PSJ/acd83f"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4 (95:5)"
Temperature:	"150K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/277"
n₁ Error Units:	Standard Deviation
k₁ Error Units:	Standard Deviation

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
1.38852	1.639757	0.0108636	0.0093008	0.002405	
1.387	1.639804	0.0108588	0.0092995	0.002403	
1.38547	1.639852	0.0108545	0.0092983	0.002401	
1.38395	1.639902	0.0108523	0.0092971	0.0024	
1.38242	1.63995	0.0108507	0.0092958	0.002398	
1.38089	1.640002	0.0108439	0.0092946	0.002396	
1.37937	1.64005	0.0108421	0.0092934	0.002394	
1.37784	1.640102	0.0108368	0.0092922	0.002393	
1.37631	1.640151	0.0108339	0.009291	0.002391	
1.37479	1.640201	0.0108292	0.0092898	0.002389	
1.37326	1.64025	0.0108245	0.0092886	0.002387	
1.37173	1.640303	0.01082	0.0092874	0.002386	
1.3702	1.640353	0.0108179	0.0092862	0.002384	
1.36867	1.640402	0.0108155	0.009285	0.002382	
1.36715	1.640454	0.0108083	0.0092838	0.00238	
1.36562	1.640506	0.0108063	0.0092827	0.002379	
1.36409	1.640556	0.0108007	0.0092815	0.002377	
1.36256	1.640609	0.0107983	0.0092804	0.002375	
1.36103	1.640661	0.0107929	0.0092792	0.002373	
1.3595	1.640711	0.0107894	0.0092781	0.002372	
1.35797	1.640763	0.0107837	0.0092769	0.00237	
1.35644	1.640817	0.0107819	0.0092758	0.002368	
1.35491	1.640871	0.0107773	0.0092747	0.002366	
1.35338	1.64092	0.010772	0.0092736	0.002364	
1.35185	1.640973	0.0107696	0.0092724	0.002363	
1.35032	1.641026	0.0107645	0.0092713	0.002361	
1.34878	1.64108	0.0107614	0.0092702	0.002359	
1.34725	1.641134	0.0107567	0.0092691	0.002357	
1.34572	1.641186	0.0107519	0.0092681	0.002355	
1.34419	1.64124	0.0107487	0.009267	0.002354	
1.34266	1.641295	0.010743	0.0092659	0.002352	
1.34112	1.641347	0.010743	0.0092648	0.00235	
1.33959	1.641401	0.0107355	0.0092638	0.002348	
1.33806	1.641458	0.010732	0.0092627	0.002346	
1.33652	1.64151	0.010728	0.0092617	0.002344	
1.33499	1.641566	0.0107243	0.0092607	0.002343	
1.33346	1.641621	0.01072	0.0092596	0.002341	
1.33192	1.641674	0.010715	0.0092586	0.002339	
1.33039	1.641729	0.0107107	0.0092576	0.002337	
1.32885	1.641787	0.0107065	0.0092566	0.002335	
1.32732	1.641842	0.0107008	0.0092556	0.002333	
1.32578	1.641898	0.0106983	0.0092546	0.002331	
1.32425	1.641953	0.0106941	0.0092537	0.00233	
1.32271	1.64201	0.0106884	0.0092527	0.002328	
1.32117	1.642067	0.0106849	0.0092517	0.002326	
1.31964	1.642123	0.0106821	0.0092508	0.002324	
1.3181	1.64218	0.010676	0.0092498	0.002322	
1.31656	1.642238	0.0106722	0.0092489	0.00232	
1.31503	1.642293	0.0106694	0.009248	0.002318	
1.31349	1.642349	0.010664	0.0092471	0.002316	
1.31195	1.642409	0.0106594	0.0092462	0.002315	
1.31041	1.642466	0.0106559	0.0092453	0.002313	
1.30887	1.642524	0.0106508	0.0092444	0.002311	
1.30734	1.642582	0.0106466	0.0092435	0.002309	
1.3058	1.64264	0.0106399	0.0092426	0.002307	
1.30426	1.6427	0.0106344	0.0092418	0.002305	
1.30272	1.642758	0.0106327	0.0092409	0.002303	
1.30118	1.642817	0.0106288	0.0092401	0.002301	
1.29964	1.642875	0.0106232	0.0092393	0.002299	
1.2981	1.642935	0.0106188	0.0092385	0.002297	
1.29656	1.642995	0.0106141	0.0092377	0.002295	
1.29502	1.643054	0.0106118	0.0092369	0.002293	
1.29348	1.643114	0.0106038	0.0092361	0.002291	
1.29194	1.643174	0.010599	0.0092353	0.002289	
1.2904	1.643234	0.0105939	0.0092345	0.002288	
1.28885	1.643294	0.0105912	0.0092338	0.002286	
1.28731	1.643356	0.010585	0.0092331	0.002284	
1.28577	1.643417	0.0105824	0.0092323	0.002282	
1.28423	1.643478	0.0105796	0.0092316	0.00228	
1.28269	1.643541	0.0105724	0.0092309	0.002278	
1.28114	1.643601	0.0105702	0.0092302	0.002276	
1.2796	1.643663	0.0105627	0.0092296	0.002274	
1.27806	1.643725	0.0105593	0.0092289	0.002272	
1.27651	1.643787	0.0105538	0.0092282	0.00227	
1.27497	1.643851	0.0105493	0.0092276	0.002268	
1.27343	1.643912	0.0105457	0.009227	0.002266	
1.27188	1.643976	0.0105408	0.0092264	0.002264	
1.27034	1.64404	0.0105347	0.0092258	0.002262	
1.26879	1.644103	0.0105296	0.0092252	0.00226	
1.26725	1.644165	0.0105249	0.0092246	0.002258	
1.2657	1.644229	0.0105217	0.009224	0.002256	
1.26416	1.644294	0.0105161	0.0092235	0.002254	
1.26261	1.644359	0.010509	0.009223	0.002252	
1.26106	1.644422	0.0105085	0.0092225	0.00225	
1.25952	1.644487	0.0105027	0.009222	0.002248	
1.25797	1.644553	0.0104944	0.0092215	0.002246	
1.25642	1.644619	0.0104911	0.009221	0.002243	
1.25488	1.644683	0.0104865	0.0092205	0.002241	
1.25333	1.644748	0.0104837	0.0092201	0.002239	
1.25178	1.644813	0.010476	0.0092197	0.002237	
1.25023	1.644881	0.0104719	0.0092193	0.002235	
1.24868	1.644947	0.0104666	0.0092189	0.002233	
1.24714	1.645015	0.0104624	0.0092185	0.002231	
1.24559	1.645081	0.0104571	0.0092181	0.002229	
1.24404	1.645148	0.0104539	0.0092178	0.002227	
1.24249	1.645214	0.0104481	0.0092174	0.002225	
1.24094	1.645282	0.0104435	0.0092171	0.002223	
1.23939	1.645351	0.0104362	0.0092168	0.002221	
1.23784	1.645419	0.0104316	0.0092166	0.002219	
1.23629	1.645489	0.0104271	0.0092163	0.002217	
1.23474	1.645554	0.0104215	0.009216	0.002214	
1.23319	1.645625	0.0104164	0.0092158	0.002212	
1.23164	1.645693	0.0104127	0.0092156	0.00221	
1.23009	1.645762	0.0104084	0.0092154	0.002208	
1.22853	1.645832	0.0103999	0.0092153	0.002206	
1.22698	1.645902	0.0103957	0.0092151	0.002204	
1.22543	1.645972	0.0103902	0.009215	0.002202	
1.22388	1.646043	0.0103865	0.0092149	0.0022	
1.22233	1.646114	0.0103805	0.0092148	0.002198	
1.22077	1.646184	0.0103736	0.0092147	0.002195	
1.21922	1.646255	0.0103679	0.0092146	0.002193	
1.21767	1.646327	0.0103653	0.0092146	0.002191	
1.21611	1.646398	0.0103591	0.0092146	0.002189	
1.21456	1.646468	0.0103552	0.0092146	0.002187	
1.21301	1.646542	0.0103492	0.0092146	0.002185	
1.21145	1.646614	0.0103431	0.0092147	0.002182	
1.2099	1.646686	0.0103378	0.0092147	0.00218	
1.20834	1.646761	0.0103322	0.0092148	0.002178	
1.20679	1.646831	0.0103267	0.0092149	0.002176	
1.20523	1.646908	0.0103212	0.0092151	0.002174	
1.20368	1.64698	0.010316	0.0092152	0.002172	
1.20212	1.647055	0.0103126	0.0092154	0.002169	
1.20056	1.647128	0.0103061	0.0092156	0.002167	
1.19901	1.647202	0.0103015	0.0092158	0.002165	
1.19745	1.647279	0.0102936	0.0092161	0.002163	
1.19589	1.647354	0.010288	0.0092164	0.002161	
1.19434	1.647429	0.0102843	0.0092167	0.002159	
1.19278	1.647503	0.010277	0.009217	0.002156	
1.19122	1.64758	0.0102718	0.0092173	0.002154	
1.18966	1.647656	0.0102695	0.0092177	0.002152	
1.1881	1.647732	0.0102638	0.0092181	0.00215	
1.18655	1.647809	0.0102549	0.0092185	0.002147	
1.18499	1.647887	0.0102512	0.009219	0.002145	
1.18343	1.647963	0.0102451	0.0092194	0.002143	
1.18187	1.648042	0.0102403	0.0092199	0.002141	
1.18031	1.648119	0.0102343	0.0092205	0.002139	
1.17875	1.648199	0.010231	0.009221	0.002136	
1.17719	1.648278	0.0102209	0.0092216	0.002134	
1.17563	1.648356	0.0102163	0.0092222	0.002132	
1.17407	1.648434	0.0102102	0.0092228	0.00213	
1.17251	1.648514	0.010205	0.0092235	0.002127	
1.17095	1.648592	0.0101993	0.0092242	0.002125	
1.16939	1.648675	0.0101935	0.0092249	0.002123	
1.16782	1.648755	0.0101902	0.0092257	0.002121	
1.16626	1.648836	0.0101815	0.0092265	0.002118	
1.1647	1.648915	0.0101769	0.0092273	0.002116	
1.16314	1.648997	0.0101709	0.0092281	0.002114	
1.16158	1.649078	0.0101654	0.009229	0.002112	
1.16001	1.649159	0.0101575	0.0092299	0.002109	
1.15845	1.649242	0.0101526	0.0092308	0.002107	
1.15689	1.649324	0.0101479	0.0092318	0.002105	
1.15532	1.649408	0.0101416	0.0092328	0.002102	
1.15376	1.64949	0.0101368	0.0092339	0.0021	
1.1522	1.649575	0.0101298	0.0092349	0.002098	
1.15063	1.649659	0.0101225	0.009236	0.002096	
1.14907	1.649741	0.0101182	0.0092372	0.002093	
1.1475	1.649826	0.0101122	0.0092383	0.002091	
1.14594	1.649911	0.0101067	0.0092395	0.002089	
1.14437	1.649996	0.0100997	0.0092408	0.002086	
1.14281	1.650081	0.0100946	0.009242	0.002084	
1.14124	1.650167	0.0100864	0.0092434	0.002082	
1.13967	1.650254	0.010081	0.0092447	0.002079	
1.13811	1.65034	0.0100749	0.0092461	0.002077	
1.13654	1.650427	0.0100695	0.0092475	0.002075	
1.13497	1.650514	0.0100636	0.009249	0.002073	
1.13341	1.6506	0.010058	0.0092505	0.00207	
1.13184	1.650689	0.0100508	0.009252	0.002068	
1.13027	1.650776	0.0100453	0.0092536	0.002066	
1.1287	1.650864	0.0100384	0.0092552	0.002063	
1.12713	1.650956	0.0100325	0.0092569	0.002061	
1.12557	1.651043	0.0100271	0.0092585	0.002059	
1.124	1.651133	0.0100188	0.0092603	0.002056	
1.12243	1.651224	0.0100148	0.0092621	0.002054	
1.12086	1.651314	0.0100066	0.0092639	0.002052	
1.11929	1.651404	0.0100013	0.0092657	0.002049	
1.11772	1.651495	0.0099965	0.0092677	0.002047	
1.11615	1.651586	0.009988	0.0092696	0.002044	
1.11458	1.651677	0.0099832	0.0092716	0.002042	
1.11301	1.651769	0.0099744	0.0092736	0.00204	
1.11144	1.651862	0.0099679	0.0092757	0.002037	
1.10987	1.651953	0.0099633	0.0092778	0.002035	
1.1083	1.652046	0.009957	0.00928	0.002033	
1.10672	1.65214	0.0099496	0.0092822	0.00203	
1.10515	1.652233	0.0099435	0.0092845	0.002028	
1.10358	1.652326	0.0099366	0.0092868	0.002026	
1.10201	1.652423	0.0099316	0.0092892	0.002023	
1.10044	1.652517	0.0099244	0.0092916	0.002021	
1.09886	1.652613	0.0099193	0.009294	0.002018	
1.09729	1.652707	0.0099109	0.0092965	0.002016	
1.09572	1.652803	0.0099038	0.0092991	0.002014	
1.09415	1.652901	0.0098978	0.0093017	0.002011	
1.09257	1.652998	0.0098918	0.0093044	0.002009	
1.09099	1.653095	0.009884	0.0093071	0.002007	
1.08942	1.653192	0.0098783	0.0093099	0.002004	
1.08784	1.653291	0.0098707	0.0093127	0.002002	
1.08628	1.653386	0.0098629	0.0093156	0.001999	
1.08471	1.653486	0.0098593	0.0093185	0.001997	
1.08313	1.653584	0.0098528	0.0093215	0.001995	
1.08155	1.653685	0.0098444	0.0093245	0.001992	
1.07996	1.653785	0.0098379	0.0093277	0.00199	
1.07838	1.653885	0.0098298	0.0093308	0.001987	
1.0768	1.653986	0.0098235	0.0093341	0.001985	
1.07526	1.654086	0.0098168	0.0093372	0.001983	
1.07368	1.654189	0.0098102	0.0093406	0.00198	
1.07209	1.65429	0.0098038	0.009344	0.001978	
1.07051	1.654392	0.0097951	0.0093475	0.001976	
1.06892	1.654497	0.0097892	0.009351	0.001973	
1.06733	1.654601	0.0097845	0.0093546	0.001971	
1.06574	1.654705	0.0097758	0.0093583	0.001968	
1.06422	1.654806	0.0097704	0.0093619	0.001966	
1.06263	1.654911	0.0097621	0.0093657	0.001964	
1.06104	1.655016	0.0097529	0.0093695	0.001961	
1.05945	1.655121	0.0097475	0.0093735	0.001959	
1.05785	1.655228	0.0097398	0.0093775	0.001956	
1.05634	1.65533	0.0097342	0.0093813	0.001954	
1.05475	1.655438	0.0097283	0.0093855	0.001952	
1.05316	1.655546	0.0097189	0.0093897	0.001949	
1.05156	1.655655	0.0097136	0.009394	0.001947	
1.04996	1.655764	0.0097066	0.0093983	0.001944	
1.04836	1.655873	0.0096968	0.0094028	0.001942	
1.04676	1.655983	0.0096903	0.0094073	0.001939	
1.04527	1.656087	0.0096834	0.0094116	0.001937	
1.04367	1.656196	0.0096764	0.0094163	0.001935	
1.04207	1.656309	0.0096704	0.009421	0.001932	
1.04046	1.656421	0.0096619	0.0094258	0.00193	
