Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH4CN (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/70"
A₁ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.11 μm
A₁ Error Units:	Not Applicable
A₂ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.22 μm
A₂ Error Units:	Not Applicable
A₃ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.43 μm
A₃ Error Units:	Not Applicable
A₄ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.86 μm
A₄ Error Units:	Not Applicable
A₅ Caption:	Absorption spectrum of NH4CN ice with a thickness of 1.73 μm
A₅ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	"A₂"	"DA₂  (+/-)"	"A₃"	"DA₃  (+/-)"	"A₄"	"DA₄  (+/-)"	"A₅"	"DA₅  (+/-)"	
2414.6008	0.00136		-0.00147		0.0064		0.00938		0.01474		
2414.7213	0.00135		-0.00149		0.00639		0.00938		0.01472		
2414.8418	0.00134		-0.0015		0.00639		0.00938		0.01471		
2414.9624	0.00131		-0.00151		0.00637		0.00938		0.0147		
2415.0829	0.00127		-0.00152		0.00636		0.00936		0.0147		
2415.2034	0.00124		-0.00153		0.00635		0.00935		0.01471		
2415.324	0.00121		-0.00154		0.00634		0.00935		0.01472		
2415.4445	0.00119		-0.00154		0.00634		0.00935		0.01474		
2415.565	0.00119		-0.00154		0.00634		0.00937		0.01475		
2415.6856	0.00119		-0.00153		0.00635		0.00939		0.01476		
2415.8061	0.00121		-0.00152		0.00637		0.00943		0.01478		
2415.9266	0.00123		-0.00151		0.00639		0.00946		0.01479		
2416.0472	0.00125		-0.00149		0.00641		0.0095		0.0148		
2416.1677	0.00128		-0.00148		0.00643		0.00953		0.0148		
2416.2882	0.0013		-0.00147		0.00644		0.00955		0.0148		
2416.4087	0.00132		-0.00146		0.00644		0.00955		0.0148		
2416.5293	0.00133		-0.00146		0.00643		0.00954		0.01479		
2416.6498	0.00133		-0.00147		0.00641		0.00952		0.01478		
2416.7703	0.00132		-0.00147		0.00639		0.0095		0.01478		
2416.8909	0.00131		-0.00148		0.00638		0.00948		0.01479		
2417.0114	0.0013		-0.00148		0.00637		0.00947		0.01481		
2417.1319	0.00129		-0.00148		0.00636		0.00946		0.01483		
2417.2525	0.00128		-0.00148		0.00636		0.00946		0.01485		
2417.373	0.00127		-0.00148		0.00637		0.00947		0.01487		
2417.4935	0.00126		-0.00147		0.00637		0.00947		0.01489		
