Reference:	"Gerakines and Hudson (2020)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/abad39"
Sample Type:	"Ice"
Composition:	"CO2 (1)"
Temperature:	"70K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/56"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
509.4	1.524000066		0.089409866			509.4	0.000755407		
509.45	1.537039605		0.066260193			509.45	0.000565495		
509.5	1.5564891		0.062088478			509.5	0.000537183		
509.55	1.563269014		0.070807187			509.55	0.000615073		
509.6	1.556196605		0.074290797			509.6	0.00064218		
509.65	1.547675838		0.066084498			509.65	0.000568323		
509.7	1.544925127		0.051365546			509.7	0.000441534		
509.75	1.549727967		0.032222138			509.75	0.000278899		
509.8	1.568114759		0.015648713			509.8	0.00013878		
509.85	1.591978225		0.013577733			509.85	0.000123195		
509.9	1.608291043		0.021030578			509.9	0.000191223		
509.95	1.618432749		0.027632219			509.95	0.000251854		
510	1.628488604		0.033954866			510	0.00031071		
510.05	1.637169742		0.041970404			510.05	0.000385281		
510.1	1.644789821		0.050755178			510.1	0.000467313		
510.15	1.651644815		0.060436392			510.15	0.000558019		
510.2	1.659388962		0.072751238			510.2	0.000674034		
510.25	1.663761554		0.091747938			510.25	0.000850938		
510.3	1.658205262		0.113009903			510.3	0.001043122		
510.35	1.643937086		0.128975506			510.35	0.001179071		
510.4	1.625561516		0.136861618			510.4	0.001236448		
510.45	1.607903256		0.134702334			510.45	0.001203485		
510.5	1.598796391		0.126575962			510.5	0.00112466		
510.55	1.597085111		0.121531586			510.55	0.001078926		
510.6	1.597178778		0.12199776			510.6	0.001083216		
510.65	1.594263238		0.128568094			510.65	0.001139268		
510.7	1.580217824		0.136062493			510.7	0.001194598		
510.75	1.558878523		0.129652962			510.75	0.001122814		
510.8	1.547602248		0.109803609			510.8	0.000944432		
510.85	1.552070995		0.091827519			510.85	0.000792751		
510.9	1.559064141		0.08865475			510.9	0.000769125		
510.95	1.55133048		0.085585928			510.95	0.000738842		
511	1.545405057		0.065783323			511	0.000566319		
511.05	1.555351521		0.041555911			511.05	0.000361241		
511.1	1.580036038		0.024054853			511.1	0.000214141		
511.15	1.612556841		0.023601207			511.15	0.000215299		
511.2	1.638647691		0.039954379			511.2	0.000368189		
511.25	1.652425168		0.064778929			511.25	0.000599276		
511.3	1.650571583		0.090618241			511.3	0.00083515		
511.35	1.63740248		0.104058407			511.35	0.000950236		
511.4	1.6297733		0.104188427			511.4	0.000946868		
511.45	1.634645471		0.105384597			511.45	0.000960764		
511.5	1.641608988		0.121518469			511.5	0.001112023		
511.55	1.630556639		0.145506026			511.55	0.00132123		
511.6	1.604142739		0.154412484			511.6	0.001378519		
511.65	1.583513236		0.144935767			511.65	0.00127724		
511.7	1.575496607		0.132521324			511.7	0.001162233		
511.75	1.57271076		0.121754828			511.75	0.001066284		
511.8	1.575931138		0.112824606			511.8	0.00099054		
511.85	1.581610889		0.109474651			511.85	0.000964921		
511.9	1.58675258		0.109785567			511.9	0.000971003		
511.95	1.590933213		0.111446709			511.95	0.000988418		
512	1.599569808		0.115661772			512	0.001031509		
512.05	1.606893038		0.134719948			512.05	0.001206504		
512.1	1.59360708		0.161227841			512.1	0.001430791		
512.15	1.561616861		0.174172509			512.15	0.001513725		
512.2	1.524700324		0.164511708			512.2	0.001395673		
512.25	1.502199242		0.132514054			512.25	0.001107959		
512.3	1.504962673		0.100589651			512.3	0.000843247		
512.35	1.51739439		0.081480408			512.35	0.000689359		
512.4	1.532441701		0.072119623			512.4	0.000616791		
512.45	1.543282039		0.071955073			512.45	0.000620004		
512.5	1.546630098		0.071788867			512.5	0.000620043		
512.55	1.549221089		0.065142877			512.55	0.00056394		
512.6	1.562623013		0.056539142			512.6	0.000494376		
512.65	1.583800421		0.063859183			512.65	0.000566071		
512.7	1.590112529		0.087891457			512.7	0.000781046		
512.75	1.574547522		0.105416207			512.75	0.000926562		
512.8	1.555579218		0.105313269			512.8	0.000914205		
512.85	1.542646985		0.097775388			512.85	0.00084177		
512.9	1.532650438		0.086422959			512.9	0.000739424		
512.95	1.526672158		0.070148963			512.95	0.000598261		
513	1.527997389		0.04990904			513	0.00042673		
513.05	1.539244291		0.030883354			513.05	0.000267075		
513.1	1.556371977		0.017159489			513.1	0.000151463		
513.15	1.580004192		0.007496168			513.15	6.9246E-5		
513.2	1.60986256		0.010267053			513.2	9.6139E-5		
513.25	1.635348787		0.026078148			513.25	0.000242399		
513.3	1.653959841		0.051925717			513.3	0.000483835		
513.35	1.657641496		0.084569059			513.35	0.000786372		
513.4	1.648800142		0.112279001			513.4	0.001036325		
513.45	1.632091131		0.137469443			513.45	0.001254275		
513.5	1.601662488		0.154233872			513.5	0.001379674		
513.55	1.568310846		0.151411908			513.55	0.001325721		
513.6	1.545010063		0.137173705			513.6	0.001183243		
513.65	1.528535515		0.120170904			513.65	0.001025727		
513.7	1.515989115		0.099532281			513.7	0.000842916		
513.75	1.507954674		0.072051052			513.75	0.000607485		
513.8	1.515467807		0.036200606			513.8	0.000307826		
513.85	1.545210855		0.011697257			513.85	0.000103291		
513.9	1.57582356		0.009500866			513.9	8.6691E-5		
513.95	1.597504958		0.015247885			513.95	0.00013962		
514	1.614278817		0.024949715			514	0.000228893		
514.05	1.62501678		0.035827053			514.05	0.000329325		
514.1	1.632705551		0.045492716			514.1	0.000419155		
514.15	1.639319653		0.052492038			514.15	0.000485081		
514.2	1.651340738		0.05947385			514.2	0.000553343		
514.25	1.666089275		0.075633723			514.25	0.000708956		
514.3	1.675054048		0.10255888			514.3	0.000964629		
514.35	1.66887761		0.135755788			514.35	0.001269834		
514.4	1.646666655		0.160663532			514.4	0.001481012		
514.45	1.620346693		0.173967381			514.45	0.001576928		
514.5	1.589432959		0.178294034			514.5	0.001584601		
514.55	1.560370329		0.165664981			514.55	0.001445327		
514.6	1.545343999		0.144876329			514.6	0.001252117		
514.65	1.540153831		0.12501713			514.65	0.001077317		
514.7	1.542852293		0.107437439			514.7	0.000928013		
514.75	1.551203149		0.094867744			514.75	0.000824459		
514.8	1.563765044		0.087931674			514.8	0.000770921		
514.85	1.578733317		0.091560552			514.85	0.000810683		
514.9	1.582983897		0.10665229			514.9	0.00094641		
514.95	1.572747315		0.114370919			514.95	0.001007924		
515	1.566476461		0.111608407			515	0.000979707		
515.05	1.564897188		0.110666134			515.05	0.000970544		
515.1	1.56283474		0.112773084			515.1	0.000987701		
515.15	1.55443222		0.116411625			515.15	0.001013899		
515.2	1.540666544		0.110106488			515.2	0.000950495		
515.25	1.535874874		0.094220709			515.25	0.000811234		
515.3	1.541408297		0.081370732			515.3	0.000703655		
515.35	1.550838715		0.073747469			515.35	0.000642134		
515.4	1.5636556		0.073448999			515.4	0.000645157		
515.45	1.570741489		0.0833859			515.45	0.000735544		
515.5	1.566345596		0.091951579			515.5	0.000808459		
515.55	1.560457459		0.09342899			515.55	0.00081826		
515.6	1.555078414		0.095159499			515.6	0.000830451		
515.65	1.54402825		0.093916268			515.65	0.000813678		
515.7	1.532771257		0.083147654			515.7	0.000715308		
515.75	1.527776984		0.064692639			515.75	0.00055524		
515.8	1.534624012		0.042184752			515.8	0.000364633		
515.85	1.555471582		0.027192015			515.85	0.000239506		
515.9	1.577576016		0.027209582			515.9	0.000243571		
515.95	1.593360053		0.032176335			515.95	0.000290707		
516	1.609777422		0.040784722			516	0.000371721		
516.05	1.620188276		0.058994213			516.05	0.000539588		
516.1	1.617676351		0.076957551			516.1	0.000701385		
516.15	1.607989477		0.086912062			516.15	0.000786589		
516.2	1.598201607		0.085915139			516.2	0.000772716		
516.25	1.599160153		0.079599686			516.25	0.00071674		
516.3	1.605897205		0.081298169			516.3	0.000735264		
516.35	1.609271192		0.0860228			516.35	0.000779532		
516.4	1.613804048		0.09253039			516.4	0.000840716		
516.45	1.613879076		0.104584436			516.45	0.000949753		
516.5	1.605424193		0.113266475			516.5	0.001022691		
516.55	1.597667043		0.113307168			516.55	0.001018021		
516.6	1.596037269		0.112121324			516.6	0.001006441		
516.65	1.597187652		0.11357642			516.65	0.001020303		
516.7	1.598963297		0.119620518			516.7	0.001075698		
516.75	1.595971915		0.128548385			516.75	0.001153512		
516.8	1.590972761		0.135322352			516.8	0.001210246		
516.85	1.586721607		0.146104232			516.85	0.001302838		
516.9	1.570372173		0.163115234			516.9	0.001438782		
516.95	1.536843508		0.166232313			516.95	0.001434388		
517	1.507947823		0.145696562			517	0.001233611		
517.05	1.496389303		0.116257378			517.05	0.000977229		
517.1	1.499010334		0.088468949			517.1	0.000745546		
517.15	1.51257753		0.067986942			517.15	0.000578841		
517.2	1.528968344		0.059298809			517.2	0.000510942		
517.25	1.541081919		0.057307075			517.25	0.000498047		
517.3	1.547168856		0.057036822			517.3	0.000497835		
517.35	1.551100865		0.047427534			517.35	0.000415584		
517.4	1.573298148		0.034899413			517.4	0.000311416		
517.45	1.606116776		0.0460314			517.45	0.000419095		
517.5	1.622537314		0.078929842			517.5	0.000723425		
517.55	1.613931354		0.112979318			517.55	0.001027744		
517.6	1.588887673		0.132129669			517.6	0.001181968		
517.65	1.563412224		0.132506332			517.65	0.00116588		
517.7	1.547121888		0.125267646			517.7	0.001090687		
517.75	1.533536326		0.116343263			517.75	0.001004159		
517.8	1.525138517		0.101379566			517.8	0.000870509		
517.85	1.526130083		0.089579663			517.85	0.000770072		
517.9	1.523653574		0.08519374			517.9	0.000731325		
517.95	1.514497491		0.072711205			517.95	0.000620663		
518	1.515302522		0.050520331			518	0.000432154		
518.05	1.527149672		0.031874845			518.05	0.000275765		
518.1	1.544198496		0.018172249			518.1	0.000160253		
518.15	1.566595205		0.009249416			518.15	8.4469E-5		
518.2	1.595952138		0.00971885			518.2	9.0962E-5		
518.25	1.623794342		0.029324283			518.25	0.000272298		
518.3	1.630948382		0.060487662			518.3	0.000559453		
518.35	1.620268536		0.078747313			518.35	0.00072184		
518.4	1.6156286		0.08308847			518.4	0.000759138		
518.45	1.619159826		0.093231468			518.45	0.000853265		
518.5	1.615528506		0.112582103			518.5	0.001027022		
518.55	1.597026113		0.12998146			518.55	0.001171041		
518.6	1.568295705		0.131833154			518.6	0.001165763		
518.65	1.546052174		0.113178043			518.65	0.000986781		
518.7	1.543361887		0.087913371			518.7	0.000765862		
518.75	1.554550153		0.069322308			518.75	0.000609156		
518.8	1.575488931		0.061034398			518.8	0.000544412		
518.85	1.59802025		0.072376866			518.85	0.000654761		
518.9	1.602213451		0.098568133			518.9	0.000892706		
518.95	1.5842165		0.116621584			518.95	0.001043199		
519	1.561637522		0.115412509			519	0.001017319		
519.05	1.546194121		0.101654081			519.05	0.000887366		
519.1	1.541619723		0.08070596			519.1	0.000703001		
519.15	1.551244008		0.06048156			519.15	0.00053104		
519.2	1.570622761		0.048833258			519.2	0.000435123		
519.25	1.595365285		0.048313384			519.25	0.00043793		
519.3	1.618618101		0.063257232			519.3	0.000581171		
519.35	1.630186781		0.088880634			519.35	0.000820888		
519.4	1.627860147		0.118492978			519.4	0.00109108		
519.45	1.606924691		0.143683142			519.45	0.00130442		
519.5	1.575471322		0.148396094			519.5	0.001320075		
519.55	1.553500704		0.1332197			519.55	0.001168631		
519.6	1.549911909		0.112808371			519.6	0.000987843		
519.65	1.561716708		0.101378723			519.65	0.000895169		
519.7	1.575567632		0.108668208			519.7	0.000968182		
519.75	1.573352033		0.126346998			519.75	0.001123523		
519.8	1.557224629		0.13556023			519.8	0.001192577		
519.85	1.539749533		0.133843873			519.85	0.001164082		
519.9	1.523952806		0.124169948			519.9	0.001068912		
519.95	1.515448118		0.105580097			519.95	0.000904152		
520	1.520454062		0.088234807			520	0.000758655		
520.05	1.529169535		0.080293711			520.05	0.000694769		
520.1	1.536093246		0.075244056			520.1	0.00065437		
520.15	1.545265688		0.071948135			520.15	0.000629794		
520.2	1.555352055		0.07469262			520.2	0.000658244		
520.25	1.561185172		0.08315132			520.25	0.000735378		
520.3	1.55876636		0.093714517			520.3	0.000827122		
520.35	1.548037046		0.096066348			520.35	0.000841822		
520.4	1.54498946		0.087375765			520.4	0.000764443		
520.45	1.553336516		0.085801747			520.45	0.000755018		
520.5	1.55719275		0.096460412			520.5	0.000850685		
520.55	1.547532116		0.108724011			520.55	0.000952363		
520.6	1.528961613		0.108623502			520.6	0.000939807		
520.65	1.51843429		0.095911773			520.65	0.000824315		
520.7	1.518138988		0.087539099			520.7	0.000752483		
520.75	1.51291555		0.083810569			520.75	0.000718029		
520.8	1.507038584		0.072012456			520.8	0.000614816		
520.85	1.510111819		0.061108453			520.85	0.000523185		
520.9	1.510325996		0.057167728			520.9	0.000489693		
520.95	1.503589135		0.047977493			520.95	0.000409376		
521	1.499878106		0.027290245			521	0.000233004		
521.05	1.511359073		0.000358			521.05	4.904E-6		
521.1	1.538362265		-0.016081103			521.1	-0.000137513		
521.15	1.566970598		-0.018021783			521.15	-0.00015668		
521.2	1.593039861		-0.008915936			521.2	-7.6636E-5		
521.25	1.609033694		0.00982484			521.25	9.3544E-5		
521.3	1.612307441		0.026970151			521.3	0.000250155		
521.35	1.609481772		0.035306126			521.35	0.000325533		
521.4	1.612439483		0.033988499			521.4	0.000314225		
521.45	1.626993095		0.038443225			521.45	0.000358475		
521.5	1.637279606		0.055813064			521.5	0.000521893		
521.55	1.636976581		0.073978351			521.55	0.000689972		
521.6	1.63192462		0.088205985			521.6	0.000819033		
521.65	1.625442423		0.099791124			521.65	0.000922134		
521.7	1.615186164		0.111730518			521.7	0.001025144		
521.75	1.597143673		0.115385365			521.75	0.001046335		
521.8	1.586779465		0.105236219			521.8	0.000948342		
521.85	1.590499065		0.099519954			521.85	0.000899326		
521.9	1.591702474		0.104373226			521.9	0.000943808		
521.95	1.585500859		0.106573674			521.95	0.000959804		
522	1.581477537		0.102517148			522	0.000921076		
522.05	1.583236692		0.097076717			522.05	0.000873497		
522.1	1.59179898		0.09512663			522.1	0.000860941		
